CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2024-03-31;1;0.024856;0.024427;0.024756;0.024328;0.013616;0.013381;0.010797;0.010611;0;0;0.011544;0.011345;0.002644;0.002598;0.011095;0.010904;0.019103;0.018773;0.018362;0.018045;0.009329;0.009168;0.042539;0.041804;0.178497;0.175417;0.632862;0.621942;;;0.073177;0.071914;0.080922;0.079525;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;2438104.05;;;5767806.07
00.332.266/0001-31;2024-06-30;1;0.018611;0.018128;0.032709;0.03186;0;0;0;0;0.009848;0.009592;0.007328;0.007137;0.011637;0.011336;0.022087;0.021514;0.008303;0.008088;0.00973;0.009478;0.044366;0.043215;0.020767;0.020229;0.134806;0.131309;0.679808;0.662172;;;0.042268;0.041172;0.082079;0.07995;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;736992.94;;;7968986.01
00.332.266/0001-31;2024-09-30;1;0.088246;0.08455;0.011812;0.011318;0;0;0.013775;0.013198;0.018168;0.017406;0.01291;0.012369;0.022665;0.021716;0.021907;0.020989;0.005306;0.005084;0.050361;0.048252;0.041398;0.039664;0.041612;0.039869;0.162912;0.156087;0.508928;0.487607;;;0.002064;0.001978;0.088112;0.084421;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;338907.31;;;6710351.75
00.332.266/0001-31;2024-12-31;1;0.035374;0.034063;0;0;0.010458;0.01007;0.01433;0.013799;0.010334;0.009951;0.002225;0.002143;0.012806;0.012331;0.003858;0.003715;0.045739;0.044044;0.019104;0.018396;0.026808;0.025815;0.002751;0.002649;0.133882;0.128922;0.682331;0.657047;;;0.033163;0.031934;0.065323;0.062903;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;464250.33;;;4982406.26
00.613.094/0001-74;2024-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.613.094/0001-74;2024-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.613.094/0001-74;2024-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.613.094/0001-74;2024-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;Prazo de locação entre 60 e 120 meses, reajustado anualmente pela variação positiva do IGPM ou IPCA. O contrato de locação deve ser cumprido integralmente, sob penas de pagamento de indenização e multa por desistência da locação ou por rescisão, ou resiliçao antecipada. Para grande parte dos locatários, a garantia é obtida através de fiador, carta fiança, depósito caução ou depósito antecipado.;A locadora contratará seguro para o imóvel, considerando seu valor real e este custo será reembolsado pela locatária. Tal seguro inclui as dependências e instalações comuns, elevadores, ar condicionado, ou outros equipamentos, contemplando Riscos Operacionais e Responsabilidade Civil.;;;;569584.13;0;0;0
00.762.723/0001-28;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.94864;;;;;1;0.94864;;;Os contratos de locação são dos imóveis do Fundo e preveem o período de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo locatário, correção anual do valor da locação pelo IGP-M, IPCA ou IGP-DI. O Fundo é proprietário de 75% do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do condomínio.;;;;5500;;;4157450.51
00.762.723/0001-28;2024-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Os contratos de locação são dos imóveis do Fundo e preveem o período de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo locatário, correção anual do valor da locação pelo IGP-M, IPCA ou IGP-DI. O Fundo é proprietário de 75% do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do condomínio.;;;;4924.03;;;2039546.2
