Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
Classe;00.332.266/0001-31;2024-03-31;1;2024-05-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2024-03-31
Classe;00.332.266/0001-31;2024-06-30;1;2024-08-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2024-06-30
Classe;00.332.266/0001-31;2024-09-30;1;2024-11-18;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2024-09-30
Classe;00.332.266/0001-31;2024-12-31;1;2025-02-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2024-12-31
Classe;00.613.094/0001-74;2024-03-31;1;2024-05-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BANCO GENIAL S.A.;00613094000174;PRAIA DE BOTAFOGO;228;SL 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250906;(21) 3923-3000;;;www.bancogenial.com;middleadm@genial.com.vc;2024-03-31
Classe;00.613.094/0001-74;2024-06-30;1;2024-08-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BANCO GENIAL S.A.;00613094000174;PRAIA DE BOTAFOGO;228;SL 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250906;(21) 3923-3000;;;www.bancogenial.com;middleadm@genial.com.vc;2024-06-30
Classe;00.613.094/0001-74;2024-09-30;1;2024-11-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BANCO GENIAL S.A.;00613094000174;PRAIA DE BOTAFOGO;228;SL 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250906;(21) 3923-3000;;;www.bancogenial.com;middleadm@genial.com.vc;2024-09-30
Classe;00.613.094/0001-74;2024-12-31;1;2025-02-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Não;Não;Sim;Não;Não;BANCO GENIAL S.A.;00613094000174;PRAIA DE BOTAFOGO;228;SL 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250906;(21) 3923-3000;;;www.bancogenial.com;middleadm@genial.com.vc;2024-12-31
Classe;00.762.723/0001-28;2024-03-31;1;2024-05-15;FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;3408174;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2024-03-31
Classe;00.762.723/0001-28;2024-06-30;1;2024-08-14;FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;3798392;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AVENIDA CHEDID JAFET;222;Conjunto 32 - Bloco B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2024-06-30
