CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
01.235.622/0001-61;2020-03-31;1;Allegro;Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES;2020-03-31;181.96;2;Construção própia;0.0127578958158511;0.00242630857584667
01.235.622/0001-61;2020-03-31;1;Aretê;Praia Rasa, Buzios - RJ;2020-03-31;7833.88;9;Construção própia;0.0227235510292422;0.0043215862185861
01.235.622/0001-61;2020-03-31;1;Estoque Diversos;Av. Carlos Moreira Lima, nº 460, Vitória-ES;2020-03-31;70;1;Aquisição de unidades prontas;0.00198638467961259;0.000377772498901138
01.235.622/0001-61;2020-03-31;1;Gift;Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ;2020-03-31;153.59;2;Construção própia;0.0416840038344257;0.0079275028922428
01.235.622/0001-61;2020-03-31;1;Highlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;2020-03-31;1053.08;13;Construção própia;0.012636606320882;0.00240324162608854
01.235.622/0001-61;2020-03-31;1;Highline;R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES;2020-03-31;562.95;8;Construção própia;0.00958616290511202;0.00182310544010229
01.235.622/0001-61;2020-03-31;1;Hub - Coliving;Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ;2020-03-31;321.87;7;Construção própia;0.0275065540028019;0.00523122220406181
01.235.622/0001-61;2020-03-31;1;Icono Parque;Rua Machado de Assis, 40;2020-03-31;639.71;9;Construção própia;0.0294933908955151;0.00560908070527397
01.235.622/0001-61;2020-03-31;1;Park Square;Av. Gov. Roberto Silveira, 307 - Icaraí - Niterói;2020-03-31;92.56;1;Aquisição de unidades prontas;0.000819127702933027;0.000155782473773665
01.235.622/0001-61;2020-03-31;1;The Gallery;R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES;2020-03-31;245.22;2;Construção própia;0.00173947228569181;0.00033081446855663
01.235.622/0001-61;2020-03-31;1;Tijuca All Ways;Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ;2020-03-31;65.9;1;Construção própia;0.501601394659234;0.0953950230575035
01.235.622/0001-61;2020-03-31;1;Miraggio;R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ;2020-03-31;446.83;3;Aquisição de unidades prontas;0.00197955861542148;0.000376474311619691
01.235.622/0001-61;2020-03-31;1;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;2020-03-31;696.62;6;Construção própia;0.0635891426960876;0.0120934427182388
01.235.622/0001-61;2020-03-31;1;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;2020-03-31;1639.01;17;Construção própia;0.0115783700809583;0.00220198526679076
01.235.622/0001-61;2020-03-31;1;Spotlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;2020-03-31;6034.64;38;Construção própia;0.00640169649040525;0.00121748063464661
01.235.622/0001-61;2020-03-31;1;Seasons;R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES;2020-03-31;58.67;1;Construção própia;0.251440885425413;0.0478192631004377
01.235.622/0001-61;2020-03-31;1;Due Murano;Projeção "D" da  SQNW 307, do SHCNW, Brasília - DF;2020-03-31;87.76;1;Construção própia;0.00247580256041237;0.000470850449881253
01.235.622/0001-61;2020-06-30;3;Aretê;Praia Rasa, Buzios - RJ;2020-06-30;2235.37;2;Construção própia;0.038564;0.001444
01.235.622/0001-61;2020-06-30;3;Highlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;2020-06-30;545.86;7;Construção própia;0.107139;0.004013
01.235.622/0001-61;2020-06-30;3;Highline;R. José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES;2020-06-30;1293.06;13;Construção própia;0.127988;0.004794
01.235.622/0001-61;2020-06-30;3;Hub - Coliving;Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ;2020-06-30;141.13;4;Construção própia;0.02149;0.000805
01.235.622/0001-61;2020-06-30;3;Icono Parque;Rua Machado de Assis, 40;2020-06-30;290.54;4;Construção própia;0.05681;0.002128
01.235.622/0001-61;2020-06-30;3;The Gallery;R. Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES;2020-06-30;215.2;2;Construção própia;0.027366;0.001025
01.235.622/0001-61;2020-06-30;3;Tijuca All Ways;Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ;2020-06-30;169.92;2;Construção própia;0.021741;0.000814
01.235.622/0001-61;2020-06-30;3;Miraggio;R. Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ;2020-06-30;288.63;2;Construção própia;0.036976;0.001385
01.235.622/0001-61;2020-06-30;3;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;2020-06-30;602.18;5;Construção própia;0.120499;0.004513
01.235.622/0001-61;2020-06-30;3;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;2020-06-30;174.3;2;Construção própia;0.032501;0.001217
01.235.622/0001-61;2020-06-30;3;Spotlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;2020-06-30;2173.4;14;Construção própia;0.408923;0.015317
01.235.622/0001-61;2020-09-30;2;Aretê;Praia Rasa, Buzios - RJ;2020-09-30;20428.99;23;Em Construção - Construção própia;0.020545;0.031413
01.235.622/0001-61;2020-09-30;2;Highlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;2020-09-30;7838.03;80;Em Construção - Construção própia;0.064628;0.098815
01.235.622/0001-61;2020-09-30;2;Highline;Rua José Alexandre Buaiz, 230 - Enseada do Suá, Vitória - ES;2020-09-30;2265.49;25;Em Construção - Construção própia;0.010838;0.016572
01.235.622/0001-61;2020-09-30;2;Hub - Coliving;Rua das Marrecas, 11/13, Centro, Rio de Janeiro - RJ;2020-09-30;140.49;4;Em Construção - Construção própia;0.000884;0.001352
01.235.622/0001-61;2020-09-30;2;Icono Parque;Rua Machado de Assis, 40;2020-09-30;286.63;4;Em Construção - Construção própia;0.002255;0.003449
01.235.622/0001-61;2020-09-30;2;The Gallery;Rua Abiail do Amaral Carneiro, 85 - Enseada do Suá, Vitória - ES;2020-09-30;421.21;5;Em Construção - Construção própia;0.002321;0.00355
01.235.622/0001-61;2020-09-30;2;Miraggio;Rua Euríco Manoel do Carmo, 2 - Charitas, Niterói - RJ;2020-09-30;118.08;1;Imóvel Pronto - Aquisição de unidades prontas;0.000481;0.000736
01.235.622/0001-61;2020-09-30;2;Iluminato;Rua Ministro Raul Fernandes, 116, Botafogo, Rio de Janeiro - RJ;2020-09-30;102.35;1;Em Construção - Construção própia;0.000776;0.001186
01.235.622/0001-61;2020-09-30;2;Maison Laranjeiras;Rua das Laranjeiras, 149, Laranjeiras, Rio de Janeiro - RJ;2020-09-30;1004.24;10;Em Construção - Construção própia;0.007358;0.01125
01.235.622/0001-61;2020-09-30;2;Spotlight - Jardim Botafogo;Rua General Gois Monteiro, 49, Botafogo, Rio de Janeiro - RJ;2020-09-30;1408.47;12;Em Construção - Construção própia;0.012551;0.019191
01.235.622/0001-61;2020-09-30;2;Dacao Allegro;Avenida Adalberto Simão Nader, 117 - Mata da Praia, Vitória - ES;2020-09-30;100;1;Imóvel Pronto - Dação de unidades prontas;0.00016;0.000245
01.235.622/0001-61;2020-09-30;2;Gift;Rua Oito de Dezembro, 517, Vila Isabel, Rio de Janeiro - RJ;2020-09-30;478.92;6;Imóvel Pronto - Construção própia;0.001403;0.002145
01.235.622/0001-61;2020-09-30;2;Crystal Blue;Rua Elesbão Linhares, 503, Vitória - ES;2020-09-30;882.46;4;Em Construção - Construção própia;0.005302;0.008106
01.235.622/0001-61;2020-09-30;2;Innovita;Rua do Matoso, 104, Rio de Janeiro - RJ;2020-09-30;116.29;1;Imóvel Pronto - Construção própia;0.000369;0.000564
01.235.622/0001-61;2020-09-30;2;Park Square Residence;Avenida Roberto Silveira, 307, Niterói - RJ;2020-09-30;93.08;1;Imóvel Pronto - Construção própia;0.000371;0.000567
03.683.056/0001-86;2020-06-30;1;PARQUE PAULISTA;Alameda Santos, 1940, Cerqueira César, São Paulo/SP;2020-06-17;575.6;1;Laje Corporativa;0.016714;0.015527
03.683.056/0001-86;2020-12-31;1;PARQUE PAULISTA;Alameda Santos, 1940, Cerqueira César, São Paulo/SP;2020-12-10;575.4;1;N/A;0.018284;0.014382
08.706.065/0001-69;2020-03-31;1;Intercity Nações Unidas;Rua Fernandes Moreira 1371, 9 Flats, São Paulo, SP, 04716-003;2020-02-13;422.09;1;Não existem caracteristicas que destoem dos demais.;0.002154;0.00209
