CNPJ_Fundo;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2020-03-31;1;0.0410615728782368;0.0406895750838907;0.0335188926134233;0.0332152278181635;0.020921923225429;0.0207323808200171;0.0249663427978012;0.0247401599265018;0.0173219091311674;0.0171649810950747;0.0149845217562288;0.0148487693080901;0.0313929002173375;0.031108495874776;0.0131897149259981;0.0130702225510938;0.0214674099920497;0.0212729257429673;0.0189533102688371;0.0187816025352714;0.01327344203107;0.0131531911294891;0.00833557105004933;0.00826005484772487;0.153548660887286;0.152157585018268;0.587063828225085;0.581745316684193;;;0.00314851133716117;0.00311998736229127;0.0573898332550821;0.0568699093970242;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;260526.37;;;8763635.98
00.332.266/0001-31;2020-06-30;1;0.009935;0.009716;0.013418;0.013123;0.024445;0.023908;0.014509;0.01419;0.035759;0.034973;0.078818;0.077085;0.003164;0.003094;0.00886;0.008665;0.011253;0.011005;0.004781;0.004676;0.001786;0.001746;0.004017;0.003929;0.046289;0.045271;0.742966;0.726625;;;0.003772;0.003689;0.029545;0.028895;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;104414;;;7410576.4
00.332.266/0001-31;2020-09-30;2;0.00578835610294977;0.00552520384113028;0.0343514834910662;0.0327897843805152;0.080423959611006;0.0767676975394084;0.0185671292117546;0.0177230239147294;0.0949480500910116;0.090631488757809;0.00614568341080894;0.00586628621042648;0.0194301452338088;0.0185468052017136;0.0141665676381678;0.0135225222045596;0.0129633224931819;0.0123739794095665;0.00488660858424443;0.00466445188228976;0.0109425529370402;0.0104450787830236;0.00498536743546843;0.00475872092421177;0.119423700496946;0.113994418617656;0.572977073262545;0.546928189932282;;;0.010702;0.0102154503005555;0.046804;0.0446763776860017;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;242476.78;;;4742836.71
00.332.266/0001-31;2020-12-31;1;0;0;0;0;0.082381;0.080935;0.143166;0.140654;0.014571;0.014316;0.022596;0.0222;0.023329;0.02292;0.009314;0.00915;0.006003;0.005897;0.017414;0.017109;0.010933;0.010741;0.031786;0.031228;0.109582;0.107659;0.528925;0.519644;;;0.00996;0.009785;0.070417;0.069181;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;453866.63;;;7766372.17
00.613.094/0001-74;2020-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70545.61;;;
00.613.094/0001-74;2020-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70545.61;;;
00.613.094/0001-74;2020-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300079.84;;;
00.613.094/0001-74;2020-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;299806.24;;;
00.762.723/0001-28;2020-03-31;1;0;0;0.013431;0.013387;0.463685;0.46215;0;0;0.000487;0.000486;0;0;0.001024;0.001021;0.004886;0.00487;0;0;0;0;0.489859;0.488239;0;0;0.00885;0.008821;0.017778;0.017719;0.985;0.981744;;;0.0022;0.002192;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI. O Fundo é proprietário de 75 % do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;779.09;;;1212411.58
00.762.723/0001-28;2020-06-30;1;0;0;0.013431;0.013395;0.463685;0.462438;0;0;0.000487;0.000486;0;0;0.001024;0.001021;0.004886;0.004873;0;0;0;0;0.489859;0.488542;0;0;0.00885;0.008826;0.017778;0.01773;0.985;0.982325;;;0.0022;0.002194;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI. O Fundo é proprietário de 75 % do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;776.64;;;1330851.3
