CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
03.683.056/0001-86;2020-03-31;1;Idea Empreendimentos SPE 11 Ltda;0.044143;Vendedor;18 meses de duração
03.683.056/0001-86;2020-06-30;1;Idea Empreendimentos SPE 11 Ltda;0.044143;Vendedor;18 meses de duração a partir da aquisição
03.683.056/0001-86;2020-09-30;1;Idea Empreendimentos SPE 11 Ltda;0.044143;Vendedor;18 meses de duração
03.683.056/0001-86;2020-12-31;1;Idea Empreendimentos SPE 11 Ltda;0.044143;Vendedor;18 meses de duração
08.924.783/0001-01;2020-06-30;1;Torre Sucupira, Condomínio Parque da Cidade;0.0741;REC Sucupira PDC Empreendimentos S.A.;36 meses até novembro de 2022. A REC Sucupira garantirá ao Fundo o complemento do aluguel pago pela locatária até o valor de R$ 100/m², acrescido do IPG-M.
16.915.868/0001-51;2020-03-31;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
16.915.868/0001-51;2020-06-30;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
16.915.868/0001-51;2020-09-30;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
16.915.868/0001-51;2020-12-31;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
18.369.510/0001-04;2020-06-30;3;IMÓVEL CONASA;1;Cia Aguas de Itapema, regime built to suit, fiador CONASA;Locação garantida fev16 a jul29, vl mensal R$ 177.754,85
