CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
00.613.094/0001-74;2019-03-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;568134.51
00.613.094/0001-74;2019-06-30;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;594065.96
00.613.094/0001-74;2019-09-30;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;594065.96
00.613.094/0001-74;2019-12-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;610711.84
03.855.441/0001-63;2019-03-31;1;Vitória;Arrend Mercantil Financeiro;682642488.42
03.855.441/0001-63;2019-03-31;1;Santos;Arrend Mercantil Financeiro;568669917.68
03.855.441/0001-63;2019-06-30;1;Vitória;Arrend Mercantil Financeiro;703714711.35
03.855.441/0001-63;2019-06-30;1;Santos;Arrend Mercantil Financeiro;604524498.74
03.855.441/0001-63;2019-09-30;1;Vitória;Arrend Mercantil Financeiro;686139271.08
03.855.441/0001-63;2019-09-30;1;Santos;Arrend Mercantil Financeiro;617940787.17
03.855.441/0001-63;2019-12-31;1;Vitória;Arrend Mercantil Financeiro;686139271.08
03.855.441/0001-63;2019-12-31;1;Santos;Arrend Mercantil Financeiro;617940787.17
05.437.916/0001-27;2019-09-30;1;Terreno;Terreno cedido por Locatário para pagamento de dívida locatícia;870000
05.437.916/0001-27;2019-12-31;1;Terreno;Terreno cedido por Locatário para pagamento de dívida locatícia;870000
07.583.627/0001-61;2019-03-31;1;Não Aplicavel;Não Aplicavel;0
07.583.627/0001-61;2019-06-30;1;Não Aplicavel;Não Aplicavel;0
07.583.627/0001-61;2019-09-30;1;Não Aplicavel;Não Aplicavel;0
07.583.627/0001-61;2019-12-31;1;Não Aplicavel;Não Aplicavel;0
08.417.532/0001-30;2019-09-30;1;Lubrax;Arrendamento Mercantil Financeiro;319002.26
08.417.532/0001-30;2019-09-30;1;Bapon;Arrendamento Mercantil Financeiro;255887490.86
08.417.532/0001-30;2019-09-30;1;Basul;Arrendamento Mercantil Financeiro;244634471.96
08.417.532/0001-30;2019-12-31;1;Lubrax;Arrendamento Mercantil Financeiro;319002.26
08.417.532/0001-30;2019-12-31;1;Bapon;Arrendamento Mercantil Financeiro;255887490.86
08.417.532/0001-30;2019-12-31;1;Basul;Arrendamento Mercantil Financeiro;244634471.96
13.568.181/0001-07;2019-03-31;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
13.568.181/0001-07;2019-06-28;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
13.568.181/0001-07;2019-09-30;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;1454841.4
13.568.181/0001-07;2019-12-31;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;847964.74
13.584.584/0001-31;2019-03-29;1;Cemitério Morumby;131 Jazigos;1703000
13.584.584/0001-31;2019-03-29;1;Cemitério Terra Santa;900 Jazigos;4500000
13.584.584/0001-31;2019-03-29;1;Cemitério Terra Santa;2000 Jazigos;10000000
13.584.584/0001-31;2019-06-28;1;Cemitério Morumby;131 Jazigos;1703000
13.584.584/0001-31;2019-06-28;1;Cemitério Terra Santa;943 Jazigos;14616500
13.584.584/0001-31;2019-06-28;1;Cemitério Terra Santa;2000 Jazigos;10000000
13.584.584/0001-31;2019-09-30;1;Cemitério Morumby;131 Jazigos;1703000
13.584.584/0001-31;2019-09-30;1;Cemitério Terra Santa;943 Jazigos;14616500
13.584.584/0001-31;2019-09-30;1;Cemitério Terra Santa;2000 Jazigos;10000000
13.584.584/0001-31;2019-12-31;1;Cemitério Morumby;131 Jazigos;1703000
13.584.584/0001-31;2019-12-31;1;Cemitério Terra Santa;943 Jazigos;14616500
13.584.584/0001-31;2019-12-31;1;Cemitério Terra Santa;2000 Jazigos;10000000
14.423.780/0001-97;2019-03-29;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;315678.76
14.423.780/0001-97;2019-03-29;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;13108124.46
14.423.780/0001-97;2019-06-28;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;67997.86
14.423.780/0001-97;2019-06-28;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;12857858.32
14.423.780/0001-97;2019-09-30;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;67997.86
14.423.780/0001-97;2019-09-30;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;12857858.32
14.423.780/0001-97;2019-12-31;1;Dir. Real Sol-Fran;Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.;60855.91
14.423.780/0001-97;2019-12-31;1;Dir. Real Tiner Comp;Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora;12857858.32
14.786.587/0001-10;2019-03-31;1;Direito de superficie;Direito de superfície sobre o terreno objeto da matrícula nº 41.269 com área de 3.546,82m² que possui (i) um prédio de 4 andares (ii) um prédio de apoio (iii) um prédio destinado ao hospital (iv) um edifício garagem (v) uma área de circulação. Atualmente a propietária desenvolve atividades hospitalares no imóvel e está aprovando na prefeitura o projeto para a realização de algumas obras, dentre elas a demolição do prédio antigo, a construção de um novo prédio e a reforma do hospital pela superficiária. As partes também acordaram que a superficiária realizará os investimentos necessários para a realização das obras e locará o imóvel em carater atípico para a propietária. O direito de superfície teve início em 03/03/2015 e vigorará pelo prazo de 10 anos.;51086984.54
15.576.907/0001-70;2019-09-30;2;Centauro;CDU;11700000
15.576.907/0001-70;2019-12-31;1;Centauro;CDU;11300000
16.543.270/0001-89;2019-03-31;1;Paulinea do Brasil;;14524177
16.543.270/0001-89;2019-03-31;1;Ralin Participações LTDA;Composta pelas empresas Recanto do Sossego, Mirante da Serra e Vale da Palmeiras;76720843.06
16.543.270/0001-89;2019-03-31;1;SPE Santo André;23km ao norte de Porto Seguro;12408384.32
16.543.270/0001-89;2019-03-31;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2019-03-31;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MG);21024910.36
16.543.270/0001-89;2019-03-31;1;Vereda dos Lagos;Loteamento de 420 lotes de 500m distribuidos em um area bruta total de 354.701m;35851130
16.543.270/0001-89;2019-03-31;1;Superavit Participações;Residencial Jequitiba;69264805
16.543.270/0001-89;2019-03-31;1;Comarca de Caeté;Imóvel rural constituido por uma gleba de 40 hectares e 30 hares de terras no municipio de Minas;26045033.74
16.543.270/0001-89;2019-06-28;1;Paulinea do Brasil;;7700000
16.543.270/0001-89;2019-06-28;1;SPE Santo André;23km ao norte de Porto Seguro;171773.87
16.543.270/0001-89;2019-06-28;1;Superavit Participações;Residencial Jequitiba;10000000
16.543.270/0001-89;2019-06-28;1;Comarca de Caeté;Imóvel rural constituido por uma gleba de 40,30 ha e 71,09 ha de terras no municipio de Minas;22000000
16.543.270/0001-89;2019-06-28;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2019-06-28;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MS);11000000
16.543.270/0001-89;2019-06-28;1;Vereda dos Lagos;Terreno Gleba Rural - Faz. Taquaral - Município de Jequitiba;34917000
16.543.270/0001-89;2019-09-30;1;Paulinea do Brasil;;7700000
16.543.270/0001-89;2019-09-30;1;SPE Santo André;23km ao norte de Porto Seguro;171773.87
16.543.270/0001-89;2019-09-30;1;Superavit Participações;Residencial Jequitiba;10000000
