CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2019-03-29;3;Imóveis para venda em construção;Costa Mare;Alteração no projeto;N/A
01.235.622/0001-61;2019-03-29;3;Imóveis para venda em construção;Ícono Parque;Dificuldade na execução das fundações;N/A
01.235.622/0001-61;2019-03-29;3;Imóveis para venda em construção;Highline Square;Alteração no projeto;N/A
01.235.622/0001-61;2019-06-28;3;Imóveis para venda em construção;Highline Square;N/A;No total do custo pago estão consideradas as compras adiantadas sem respectivo avanço físico.
01.235.622/0001-61;2019-06-28;3;Imóveis para venda em construção;The Gallery;N/A;As obras acabaram de iniciar.
01.235.622/0001-61;2019-06-28;3;Imóveis para venda em construção;Hub - Coliving;Atraso devido ao serviço de arqueologia inicial por conta dos baldrames;N/A
01.235.622/0001-61;2019-06-28;3;Imóveis para venda em construção;Costa Mare;N/A;Avanço físico real está superior ao avanço previsto, consequentemente o custo correspondente também.
01.235.622/0001-61;2019-06-28;3;Imóveis para renda em construção;N/A;N/A;N/A
01.235.622/0001-61;2019-06-28;3;Imóveis para venda em construção;Ícono Parque;Atraso devido a estruturas encontradas no terreno, chuvas e alteração dos tamanhos das estacas.;N/A
01.235.622/0001-61;2019-09-30;2;Imóveis para venda em construção;Highline Square;N/A;No total do custo pago estão consideradas as compras adiantadas sem respectivo avanço físico.
01.235.622/0001-61;2019-09-30;2;Imóveis para venda em construção;The Gallery;N/A;As obras acabaram de iniciar.
01.235.622/0001-61;2019-09-30;2;Imóveis para venda em construção;Ícono Parque;Atraso devido a estruturas encontradas no terreno, chuvas e alteração dos tamanhos das estacas.;N/A
01.235.622/0001-61;2019-09-30;2;Imóveis para renda em construção;N/A;N/A;N/A
01.235.622/0001-61;2019-09-30;2;Imóveis para venda em construção;Hub - Coliving;Atraso devido ao serviço de arqueologia inicial por conta dos baldrames;N/A
01.235.622/0001-61;2019-09-30;2;Imóveis para venda em construção;Costa Mare;N/A;Avanço físico real está superior ao avanço previsto, consequentemente o custo correspondente também.
01.235.622/0001-61;2019-12-31;2;Imóveis para renda em construção;N/A;N/A;N/A
01.235.622/0001-61;2019-12-31;2;Imóveis para venda em construção;Hub - Coliving;Atraso devido ao serviço de arqueologia inicial por conta dos baldrames;N/A
01.235.622/0001-61;2019-12-31;2;Imóveis para venda em construção;Highline Square;N/A;No total do custo pago estão consideradas as compras adiantadas sem respectivo avanço físico.
01.235.622/0001-61;2019-12-31;2;Imóveis para venda em construção;Ícono Parque;Atraso devido a estruturas encontradas no terreno, chuvas e alteração dos tamanhos das estacas.;N/A
01.235.622/0001-61;2019-12-31;2;Imóveis para venda em construção;The Gallery;N/A;As obras acabaram de iniciar.
01.235.622/0001-61;2019-12-31;2;Imóveis para venda em construção;Costa Mare;N/A;Avanço físico real está superior ao avanço previsto, consequentemente o custo correspondente também.
03.855.441/0001-63;2019-03-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2019-03-31;1;Imóveis para venda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2019-06-30;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2019-09-30;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
03.855.441/0001-63;2019-12-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
07.583.627/0001-61;2019-03-31;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2019-03-31;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
07.583.627/0001-61;2019-06-30;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2019-06-30;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
07.583.627/0001-61;2019-09-30;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
07.583.627/0001-61;2019-09-30;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2019-12-31;1;Imóveis para renda em construção;Não Aplicavel;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2019-12-31;1;Imóveis para venda em construção;Não aplicavel;Não aplicavel;Não aplicavel
08.417.532/0001-30;2019-03-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2019-06-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2019-09-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2019-12-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
11.044.355/0001-07;2019-03-31;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2019-06-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Não se aplica
11.044.355/0001-07;2019-09-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Aumento do custo indireto, devido ao aumento no prazo de execução.
