CNPJ_Fundo;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2019-03-31;1;0.026732;0.026539;0.025485;0.025301;0.061601;0.061156;0.025841;0.025654;0.010925;0.010846;0.038491;0.038212;0.017885;0.017756;0.014863;0.014756;0.03375;0.033506;0.022571;0.022408;0.048959;0.048605;0.018883;0.018747;0.223626;0.22201;0.430388;0.427279;;;0.008026;0.007968;0.029337;0.029125;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;976690.56;0;0;6217615.11
00.332.266/0001-31;2019-06-30;1;0.029254;0.028809;0.032141;0.031652;0.03136;0.030883;0.010238;0.010083;0.0318;0.031316;0.016995;0.016737;0.010949;0.010783;0.027856;0.027432;0.015874;0.015632;0.034873;0.034343;0.008605;0.008474;0.017582;0.017314;0.146092;0.14387;0.586381;0.577464;;;0.007307;0.007196;0.023132;0.02278;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;73986.91;0;0;16191561.13
00.332.266/0001-31;2019-09-30;3;0.0396489583758155;0.0391144138417239;0.0430104220278072;0.0424305584715943;0.0197556186430992;0.0194892747491898;0.0131704124287328;0.0129928498327932;0.0197556186430992;0.0194892747491898;0.0231170822950909;0.0228054193790602;0.0131704124287328;0.0129928498327932;0.0264096854022741;0.0260536318372586;0.0263408248574656;0.0259856996655864;0.0197556186430992;0.0194892747491898;0.0395112372861984;0.0389785494983796;0.0396489583758155;0.0391144138417239;0.234394565513284;0.231234474077129;0.442310585079486;0.436347384145327;;;0.0032926031071832;0.0032482124581983;0.0131704124287328;0.0129928498327932;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;65796.23;0;0;12507024.99
00.332.266/0001-31;2019-12-31;1;0.0405955182862748;0.0401693272498026;0.0144472860887752;0.0142956116160178;0;0;0.0463397217205642;0.0458532253075699;0.0151640849863428;0.0150048852182328;0.0236061145097323;0.0233582863051745;0.0160521381831337;0.015883615210681;0.0755611153002509;0.0747678388154008;0.00870679388820074;0.00861538582967089;0.023036299757582;0.0227944537389912;0.0222994112964136;0.022065301482958;0.0151917635037725;0.0150322731534374;0.182387625620093;0.180472833680388;0.516612126858864;0.51118848732685;;;0.008456;0.008367;0.041792;0.041354;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;377783.51;0;0;11071010.8
00.613.094/0001-74;2019-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58311.3;;;
00.613.094/0001-74;2019-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61567.78;;;
00.613.094/0001-74;2019-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51198.11;;;
00.613.094/0001-74;2019-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86743.41;;;
00.762.723/0001-28;2019-03-31;1;0.000219;0.000219;0.000902;0.0009;0.023929;0.023881;0.010348;0.010328;0.010642;0.010621;0;0;0.000899;0.000897;0;0;0.00167;0.001667;0;0;0.000462;0.000461;0.946089;0.942311;0;0;0.00484;0.00383;0.956;0.9522;;;0.002;0.0022;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;1212.8;0;0;1096511.19
00.762.723/0001-28;2019-06-30;1;0.021112;0.020944;0;0;0.001079;0.00107;0;0;0.001936;0.00192;0;0;0;0;0;0;0.000513;0.000509;0;0;0;0;0.95679;0.949189;0.008982;0.008911;0.009588;0.009512;0.956;0.9522;;;0.002;0.0022;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;1028.64;0;0;1015441.79
