CNPJ_Fundo;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2018-03-31;1;0.045393;0.044704;0.142337;0.140176;0.02191;0.021577;0.03335;0.032844;0.019954;0.019651;0.027158;0.026746;0.040541;0.039926;0.017378;0.017114;0.007917;0.007797;0.04858;0.047842;0.026171;0.025774;0.014756;0.014532;0.222924;0.219541;0.331631;0.326599;;;0.009285;0.009144;0.018281;0.018004;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;206231.11;0;0;12109138.53
00.332.266/0001-31;2018-06-30;2;0.137425;0.136417;0.016886;0.016763;0.041447;0.041143;0.030017;0.029797;0.026515;0.026321;0.043679;0.043359;0.017945;0.017813;0.010065;0.009992;0.044151;0.043827;0.022654;0.022488;0.014081;0.013978;0.033856;0.033607;0.229057;0.227378;0.332222;0.329787;;;0.00793824171693403;0.0078800557241971;0.0164486391859068;0.0163280733938421;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;613432.87;0;0;6465030.92
00.332.266/0001-31;2018-09-30;1;0.013943;0.013798;0.032616;0.032276;0.025449;0.025184;0.027225;0.026941;0.04344;0.042987;0.016657;0.016484;0.009933;0.00983;0.037949;0.037554;0.021402;0.021179;0.012857;0.012723;0.031014;0.030691;0.005996;0.005933;0.222953;0.220629;0.498566;0.49337;;;0.007583;0.007503;0.014968;0.014812;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;63084.2;0;0;8193905.23
00.332.266/0001-31;2018-12-31;1;0.034357;0.034126;0.026993;0.026812;0.026317;0.026141;0.049056;0.048726;0.023589;0.023431;0.00856;0.008503;0.037599;0.037346;0.015246;0.015143;0.01199;0.01191;0.030402;0.030198;0.011839;0.01176;0.074508;0.074008;0.238759;0.237156;0.410785;0.408027;;;0.015148;0.015046;0.018933;0.018806;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;1291699.86;0;0;7933687.81
00.613.094/0001-74;2018-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64033.81;;;
00.613.094/0001-74;2018-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145360.26;;;
00.613.094/0001-74;2018-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43710.17;;;
00.613.094/0001-74;2018-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35378.34;;;
00.762.723/0001-28;2018-03-31;1;0.009493;0.009461;0.007685;0.007659;0.033753;0.033642;0.001032;0.001029;0.026805;0.026716;0.002288;0.00228;0.005748;0.005729;0;0;0.000992;0.000989;0;0;0.000909;0.000906;0;0;0.899013;0.896046;0.012282;0.012242;0.900004558742523;0.897034149366336;;;;;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;5600.4;0;0;1076339.51
00.762.723/0001-28;2018-06-30;1;0;0;0;0;0.001086;0.001083;0.029051;0.028956;0.002408;0.0024;0.01263;0.012589;0;0;0.001064;0.00106;0;0;0.000957;0.000954;0;0;0.000526;0.000524;0.949826;0.946749;0.002452;0.002445;0.95089;0.947809;;;0.000526;0.000524;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;4348.68;0;0;1047660.24
