CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
00.613.094/0001-74;2018-03-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;979329.07
00.613.094/0001-74;2018-06-30;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;979329.07
00.613.094/0001-74;2018-09-30;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;979329.07
00.613.094/0001-74;2018-12-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;568134.51
03.855.441/0001-63;2018-03-31;1;Dique Seco;Arrend Mercantil Financeiro;129289825.21
03.855.441/0001-63;2018-03-31;1;Vitória;Arrend Mercantil Financeiro;794761732.11
03.855.441/0001-63;2018-03-31;1;Santos;Arrend Mercantil Financeiro;610582795.8
03.855.441/0001-63;2018-06-30;1;Vitória;Arrend Mercantil Financeiro;776562698.27
03.855.441/0001-63;2018-06-30;1;Santos;Arrend Mercantil Financeiro;626782044.95
03.855.441/0001-63;2018-09-30;1;Vitória;Arrend Mercantil Financeiro;763957785.19
03.855.441/0001-63;2018-09-30;1;Santos;Arrend Mercantil Financeiro;648309366.19
03.855.441/0001-63;2018-12-31;1;Vitória;Arrend Mercantil Financeiro;682642488.42
