CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
00.613.094/0001-74;2016-12-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;1177795.56
03.855.441/0001-63;2016-12-31;1;Dique Seco;Arrend Mercantil Financeiro;288163976.13
03.855.441/0001-63;2016-12-31;1;Vitória;Arrend Mercantil Financeiro;816021775.59
03.855.441/0001-63;2016-12-31;1;Santos;Arrend Mercantil Financeiro;618866643.87
07.583.627/0001-61;2016-12-31;1;não aplicavel;não aplicavel;0
13.555.918/0001-49;2016-12-31;1;Queimados 3 Negócios Imobiliários S.A.;Ações ( Sociedade de Propósito Específico);22989999.94
13.555.918/0001-49;2016-12-31;1;Agera Negócios Imobiliários S.A;Ações ( Sociedade de Propósito Específico);13009000.21
13.568.181/0001-07;2016-12-31;2;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
14.069.202/0001-02;2016-12-31;1;Queimados Negócios Imobiliários S.A.;Ações ( Sociedade de Propósito Específico);33533130.58
14.074.721/0001-50;2016-12-31;1;Queimados 2 Negócios Imobiliários S.A.;Ações ( Sociedade de Propósito Específico);44179950
14.786.587/0001-10;2016-12-31;1;Direito de superficie;Direito de superfície sobre o terreno objeto da matrícula nº 41.269 com área de 3.546,82m² que possui (i) um prédio de 4 andares (ii) um prédio de apoio (iii) um prédio destinado ao hospital (iv) um edifício garagem (v) uma área de circulação. Atualmente a propietária desenvolve atividades hospitalares no imóvel e está aprovando na prefeitura o projeto para a realização de algumas obras, dentre elas a demolição do prédio antigo, a construção de um novo prédio e a reforma do hospital pela superficiária. As partes também acordaram que a superficiária realizará os investimentos necessários para a realização das obras e locará o imóvel em carater atípico para a propietária. O direito de superfície teve início em 03/03/2015 e vigorará pelo prazo de 10 anos.;8023063.63
16.543.270/0001-89;2016-12-31;1;Paulinea do Brasil;Residencial, localizado em Paulínea que possui a sétima maior renda per capta do Brasil segundo o IBGE;11359491.68
16.543.270/0001-89;2016-12-31;1;Ralin Participações LTDA;Composta pelas empresas Recanto do Sossego, Mirante da Serra e Vale da Palmeiras;44651404.85
16.543.270/0001-89;2016-12-31;1;Máxima Realty;Sociedade com Banco Máxima e Grupo Multipar;7943994.79
16.543.270/0001-89;2016-12-31;1;SPE Santo André;23km ao norte de Porto Seguro;8605994.36
16.543.270/0001-89;2016-12-31;1;Season Empreendimentos;Subdistrito de Amaralina, Salvador, Bahia.;1868358.01
16.543.270/0001-89;2016-12-31;1;Terras Empreendimentos;Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito,MG);16739175.86
16.543.270/0001-89;2016-12-31;1;West Convention;19 pavimento, sendo, 03 subsolos de garagem, térreo com recepção e restaurante, 01 com sala e centro de convenções, 13 pavimentos tipo e cobertura com piscina, bar e academia;2240000
16.915.968/0001-88;2016-12-31;1;Terra Santa Cemitério Parque;Jazigos;5842488.88
17.198.404/0001-34;2016-12-31;1;Rua Coronel Luis Barroso 151, Santo Amaro - São Paulo, SP;Aquisição dos direitos aquisitivos do imóvel, com receita de aluguel já securitizada anteriormente ao nosso investimento.;5962585.01
17.590.518/0001-25;2016-12-31;2;0;0;0
21.500.514/0001-86;2016-12-31;1;Usufruto;obtenção de renda decorrente da Fração Ideal do Usufruto (matrículas 59.298, 50.906, 50.907, 50.908, 50.909, 50.910, 50.911 e 50.912, 50.941 e 50.844, todas do Oficial de Registro de Imóveis de Suzano - Estado de São Paulo), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada;654520
21.500.514/0001-86;2016-12-31;1;Usufruto;obtenção de renda decorrente da Fração Ideal do Usufruto (matrículas 66.411 e 66.412 do 1º Registro de Imóveis de Guarulhos), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada;99720000
21.500.514/0001-86;2016-12-31;1;Usufruto;obtenção de renda decorrente da Fração Ideal do Usufruto (matrícula 105.367 do 2º Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoa Jurídica da Comarca de Guarulhos-SP), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada;173587.83
21.500.514/0001-86;2016-12-31;1;Usufruto;obtenção de renda decorrente da Fração Ideal do Usufruto  (matrícula 85.516 do 1º Registro de Imóveis de Guarulhos), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada;9331553.6
23.740.575/0001-46;2016-12-31;1;Direito de uso de superficie do imóvel;Diretio de superfície da parte ideal medindo 60.473,66 m² da área de terreno do imóvel objeto da matricula nº 10.569 (lote 3) e da parte ideal medindo 188.829,72m² da área de terreno do imóvel objeto da matrícula nº 10.570 (lote 4) e das áreas remanescentes de 121.100,05 m² do lote 3 e 29.995,47 m² do lote 4. A escritura de superfície cedeu, a título orenoso e pro prazo determinado, o direito de superfície sobre os imóveis para o fundo, de forma que este passará a receber os aluguéis e deverá prover, mediante o preço de diretio de superfície, os recursos necessários para que a propietária arque com os custos de construção do centro de distribução.                                                                                    .;115569213.99
23.781.211/0001-04;2016-12-31;1;Hospital e Maternicade Brasil;Direito de Usufruto pelo prazo de 264 meses;202030935.61
23.781.211/0001-04;2016-12-31;1;Hospital Caxias;Direito de Usufruto pelo prazo de 264 meses;147671814.29
23.781.211/0001-04;2016-12-31;1;Hospital Helena;Direito de Usufruto pelo prazo de 300 meses;250968615.15
23.781.211/0001-04;2016-12-31;1;Hospital Santa Luzia;Direito de Usufruto pelo prazo de 274 meses;140938730.81
23.781.211/0001-04;2016-12-31;1;Hospital do Coração;Direito de Usufruto pelo prazo de 274 meses;62528209.06
