CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
03.683.056/0001-86;2023-03-31;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
03.683.056/0001-86;2023-06-30;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
03.683.056/0001-86;2023-09-30;1;JK FINANCIAL CENTER;0.01896;Vendedor;18 meses de duração
12.927.767/0001-40;2023-09-29;1;Não possui informação apresentada;0;;
13.371.132/0001-71;2023-03-31;1;Torre Ebony e Marble;0.0725;;Retorno de 7,25% sobre o valor investido por 10 anos limitado a R$40 milhões.
17.098.794/0001-70;2023-09-29;1;Não possui informação apresentada.;;;
32.892.018/0001-31;2023-03-31;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2023-03-31;1;SHOPPING UBERABA;;Vendedoras do Imóvel;A estrutura obrigam as vendedoras do imóvel, a garantir uma renda ao Comprador de modo a recompor o NOI do Shopping Uberaba no prazo de 24 meses, no valor de R$ 29.133.376,46 (vinte e nove milhões, cento e trinta e três mil, trezentos e setenta e seis reais e quarenta e seis centavos) por ano.
32.892.018/0001-31;2023-06-30;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2023-06-30;1;SHOPPING UBERABA;;Vendedoras do Imóvel;A estrutura obrigam as vendedoras do imóvel, a garantir uma renda ao Comprador de modo a recompor o NOI do Shopping Uberaba no prazo de 24 meses, no valor de R$ 29.133.376,46 (vinte e nove milhões, cento e trinta e três mil, trezentos e setenta e seis reais e quarenta e seis centavos) por ano.
32.892.018/0001-31;2023-09-30;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2023-09-30;1;SHOPPING UBERABA;;Vendedoras do Imóvel;A estrutura obrigam as vendedoras do imóvel, a garantir uma renda ao Comprador de modo a recompor o NOI do Shopping Uberaba no prazo de 24 meses, no valor de R$ 29.133.376,46 (vinte e nove milhões, cento e trinta e três mil, trezentos e setenta e seis reais e quarenta e seis centavos) por ano.
32.892.018/0001-31;2023-12-31;1;SHOPPING PARALELA;;HSI V Real Estate FI em Participações - Multiestratégia.;A estrutura garantirá 8% (oito por cento) do Preço ao ano por 3 (três) anos sem limite máximo de valor, o equivalente a uma Renda fixa no primeiro ano de R$ 34.617.697,00 (trinta e quatro milhões, seiscentos e dezessete mil seiscentos e noventa e sete reais). A partir do segundo e terceiro ano, o montante do primeiro ano será corrigido pela variação do IPCA no período.
32.892.018/0001-31;2023-12-31;1;SHOPPING UBERABA;;Vendedoras do Imóvel;A estrutura obrigam as vendedoras do imóvel, a garantir uma renda ao Comprador de modo a recompor o NOI do Shopping Uberaba no prazo de 24 meses, no valor de R$ 29.133.376,46 (vinte e nove milhões, cento e trinta e três mil, trezentos e setenta e seis reais e quarenta e seis centavos) por ano.
36.200.677/0001-10;2023-03-31;2;DCB - Distribution Center Barueri;0.048512;DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A;Descontos concedidos em determinados contratos de locação até término dos descontos, julho de 2024, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2023-03-31;2;DCR - Distribution Center Rodoanel;0.002769;SANCA GTIS EMBU II EMPREENDIMENTOS LTDA.;Valor variável mensal até outubro de 2023 .% garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2023-03-31;2;CLE - Centro Logísntico Embu;0.010184;SANCA GTIS EMBU EMPREENDIMENTOS LTDA.;Receita de locação, condomínio e IPTU (e Foro, quando aplicável) de áreas vagas na data da aquisição, até outubro de 2022, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
36.200.677/0001-10;2023-06-30;1;DCB - Distribution Center Barueri;0.049454;DISTRIBUTION CENTER BARUERI EMPREENDIMENTOS IMOBILIARIOS S.A;Descontos concedidos em determinados contratos de locação até término dos descontos, julho de 2024, e valor variável mensal até outubro de 2023. % garantido relativo = receita garantida (imóvel) / receita total (imóvel)
