CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2022-03-31;1;0.037093;0.036401;0;0;0.095223;0.093448;0.011142;0.010934;0.008876;0.008711;0.007649;0.007507;0.028489;0.027958;0.018856;0.018504;0.001613;0.001583;0.023883;0.023438;0.016166;0.015864;0.011194;0.010985;0.176074;0.172791;0.563742;0.553231;0.000979;0.000961;0.006258;0.006142;0.089589;0.087919;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;682567.48;;;7497009.17
00.332.266/0001-31;2022-06-30;1;0;0;0;0;0.043937;0.043076;0.010385;0.010181;0.008383;0.008218;0.031057;0.030449;0.015411;0.015109;0.001793;0.001758;0.022583;0.022141;0.015797;0.015488;0.350773;0.3439;0.001406;0.001378;0.258483;0.253418;0.239992;0.235289;0.001288;0.001262;0.006742;0.00661;0.080094;0.078525;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;865529.05;;;7848761.83
00.332.266/0001-31;2022-09-30;1;0.005782;0.005684;0;0;0.032788;0.032236;0.007784;0.007653;0.023063;0.022675;0.010742;0.010561;0.001598;0.001571;0.019563;0.019233;0.014709;0.014461;0.317631;0.312278;0.001437;0.001413;0.005204;0.005116;0.164308;0.161539;0.395391;0.388727;0.00098;0.000963;0.005206;0.005119;0.064754;0.063663;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;566736.22;;;9224595.58
00.332.266/0001-31;2022-12-31;1;0;0;0;0;0.036243;0.035713;0.02092;0.020614;0.011248;0.011083;0.001766;0.00174;0.021063;0.020755;0.015332;0.015108;0.372581;0.367131;0;0;0.004919;0.004847;0.021084;0.020775;0.114591;0.112915;0.380253;0.374691;0.001219;0.001201;0.005708;0.005624;0.072433;0.071373;;;Contratos típicos de 5 anos, ajustados anualmente principalmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;529564.74;;;11085578.57
00.613.094/0001-74;2022-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571013.83;;;
00.613.094/0001-74;2022-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570680.43;;;
00.613.094/0001-74;2022-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570328.83;;;
00.613.094/0001-74;2022-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569972.53;;;
00.762.723/0001-28;2022-03-31;1;0;0;0;0;0;0;0;0;0.127488;0.039569;0;0;0.020764;0.0064445;0;0;0;0;0;0;0;0;0;0;0;0;0.851748;0.264364;0.255962;0.079445;;;0.529742;0.16442;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M, IPCA ou IGP-DI. O Fundo é proprietário de 75 % do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;5640.68;;;6880904.22
00.762.723/0001-28;2022-06-30;1;0;0;0;0;0;0;0;0;0.146281449192635;0.0367788788391928;0;0;0.0238243160001807;0.00599003931416757;0;0;0;0;0;0;0;0;0;0;0;0;0.829894234807185;0.208656529449087;0.245886;0.0618219510254707;;;0.607833;0.152824617737784;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M, IPCA ou IGP-DI. O Fundo é proprietário de 75 % do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;5123.98;;;4954069.59
