CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Percentual_Garantido_Relativo;Garantidor;Principais_Caracteristicas_Garantia
01.235.622/0001-61;2017-03-31;1;Edifício Visconde de Inhaúma, nº 95, Centro, Rio de Janeiro;0.1342;Venerável Ordem Terceira de São Francisco da Penintência;Existe uma garantia no valor de R$ 4.609.950,74 para cobrir a rentabilidade garantida até o fim do contrato de locação com a Companhia Modernos Hoteis do Brasil.
01.235.622/0001-61;2017-06-30;1;Edifício Visconde de Inhaúma, nº 95, Centro, Rio de Janeiro;0.1342;Venerável Ordem Terceira de São Francisco da Penintência;Existe uma garantia no valor de R$ 4.609.950,74 para cobrir a rentabilidade garantida até o fim do contrato de locação com a Companhia Modernos Hoteis do Brasil.
01.235.622/0001-61;2017-09-29;2;Edifício Visconde de Inhaúma, nº 95, Centro, Rio de Janeiro;0.1342;Venerável Ordem Terceira de São Francisco da Penintência;Existe uma garantia no valor de R$ 4.609.950,74 para cobrir a rentabilidade garantida até o fim do contrato de locação com a Companhia Modernos Hoteis do Brasil.
07.583.627/0001-61;2017-03-31;1;Não Aplicavel;0;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-06-30;1;Não Aplicavel;0;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-09-30;1;Não Aplicavel;0;Não Aplicavel;Não Aplicavel
07.583.627/0001-61;2017-12-31;1;Não Aplicavel;0;Não Aplicavel;Não Aplicavel
13.022.994/0001-99;2017-12-31;1;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.022.994/0001-99;2017-12-31;1;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.652.006/0001-95;2017-09-29;1;Shopping Sulacap;0.85;General Shopping;3 anos a partir da inauguração do Shopping com término em out/16
13.652.006/0001-95;2017-12-31;1;Shopping Sulacap;0.85;General Shopping;3 anos a partir da inauguração do Shopping com término em out/16
13.873.457/0001-52;2017-03-31;1;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-03-31;1;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-06-30;1;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-06-30;1;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-09-30;1;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-09-30;1;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-12-31;2;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
13.873.457/0001-52;2017-12-31;2;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho/2019
14.733.211/0001-48;2017-12-31;1;Terreno Campinas;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho-2019
14.733.211/0001-48;2017-12-31;1;Terreno Cuiabá;0.0095;Kroton;O contrato preve uma rentabilidade para o Fundo de 0,95% a.m. sobre o valor dos recursos liquidos captados para a obra, até o termino da contrução do imovel, que contratualmente deverá ocorrer até junho-2019
16.915.868/0001-51;2017-03-31;1;SPE HOLDING FAZENDA BOA VISTA LTDA.;0.01;JHSF PARTICIPAÇÕES S.A.;A rentabilidade mínima mensal a ser garantida pelas Sociedades e pela JHSF ao Veículo de Investimento, nos termos das SCP, para que permita a este distribuir ao Fundo, após deduzidas todas as despesas aplicáveis, recursos suficientes para a distribuição de rendimentos aos Cotistas no montante correspondente à variação acumulada do IPCA/IBGE, acrescido de 1 % (um por cento) ao ano, calculada desde a última distribuição mensal de rendimentos até a efetiva data de distribuição de rendimentos do mês emquestão sobre o valor do Capital Investido.  Nos termos das SCP, estas deverão realizar pagamentos mensais ao Veículo de Investimento e/ou diretamente ao Fundo, em valor suficiente para que este último distribua aos seus Cotistas a Rentabilidade Mínima, sendo tal obrigação garantida pela fiança a ser prestada pelo Empreendedor no âmbito do Acordo de Investimento.
