CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
00.613.094/0001-74;2017-03-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;1028050.06
00.613.094/0001-74;2017-06-30;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;979329.07
00.613.094/0001-74;2017-09-30;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;979329.07
00.613.094/0001-74;2017-12-31;1;Villaggio Panamby;As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do "habite-se" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.;979329.07
03.855.441/0001-63;2017-03-31;1;Dique Seco;Arrend Mercantil Financeiro;288163976.13
03.855.441/0001-63;2017-03-31;1;Vitória;Arrend Mercantil Financeiro;816021775.59
03.855.441/0001-63;2017-03-31;1;Santos;Arrend Mercantil Financeiro;618866643.87
03.855.441/0001-63;2017-06-30;1;Dique Seco;Arrend Mercantil Financeiro;222253520.14
03.855.441/0001-63;2017-06-30;1;Vitória;Arrend Mercantil Financeiro;843038753.73
03.855.441/0001-63;2017-06-30;1;Santos;Arrend Mercantil Financeiro;653711888.97
03.855.441/0001-63;2017-09-30;1;Dique Seco;Arrend Mercantil Financeiro;222253520.14
03.855.441/0001-63;2017-09-30;1;Vitória;Arrend Mercantil Financeiro;843038753.73
03.855.441/0001-63;2017-09-30;1;Santos;Arrend Mercantil Financeiro;653711888.97
03.855.441/0001-63;2017-12-31;1;Dique Seco;Arrend Mercantil Financeiro;222253520.14
03.855.441/0001-63;2017-12-31;1;Vitória;Arrend Mercantil Financeiro;843038753.73
03.855.441/0001-63;2017-12-31;1;Santos;Arrend Mercantil Financeiro;653711888.97
07.583.627/0001-61;2017-03-31;1;Não Aplicavel;Não Aplicavel;0
07.583.627/0001-61;2017-06-30;1;Não Aplicavel;Não Aplicavel;0
07.583.627/0001-61;2017-09-30;1;Não Aplicavel;Não Aplicavel;0
07.583.627/0001-61;2017-12-31;1;Não Aplicavel;Não Aplicavel;0
13.568.181/0001-07;2017-03-31;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
13.568.181/0001-07;2017-06-30;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
13.568.181/0001-07;2017-09-29;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
13.568.181/0001-07;2017-12-29;1;Estanteria Pouso Alegre;benfeitorias em imóvel de terceiros;4011321.28
13.584.584/0001-31;2017-09-29;1;Cemitério Terra Santa;1900 Jazigos;9500000
13.584.584/0001-31;2017-09-29;1;Cemitério Morumby;131 Jazigos;1703000
13.584.584/0001-31;2017-12-31;1;Cemitério Morumby;131 Jazigos;1703000
