CNPJ_Fundo;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2017-03-31;3;0.050198;0.049963;0.008082;0.008044;0.028915;0.028779;0.011087;0.011035;0.032636;0.032483;0.116243;0.115699;0.038277;0.038098;0.033713;0.033555;0.017073;0.016994;0.025399;0.02528;0.037586;0.03741;0.019626;0.019534;0.256935;0.255732;0.32423;0.322711;;;0.007479;0.007444;0.00828;0.008241;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI ou IPCA com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;1348196.02;0;0;2778117.98
00.332.266/0001-31;2017-06-30;2;0.019706;0.019653;0.019674;0.019621;0.009856;0.00983;0.033815;0.033724;0.098247;0.097983;0.03121;0.031126;0.030087;0.030006;0.014755;0.014715;0.020224;0.02017;0.031538;0.031454;0.013736;0.013699;0.011274;0.011244;0.234278;0.233649;0.4316;0.430442;;;0.006395;0.006376;0.007468;0.007447;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;1843224.05;0;0;667000
00.332.266/0001-31;2017-09-30;1;0.053092;0.052997;0.013594;0.01357;0.033487;0.033427;0.114738;0.114533;0.030397;0.030342;0.02788;0.02783;0.015465;0.015438;0.024057;0.024014;0.038874;0.038805;0.015599;0.015572;0.009402;0.009385;0.038846;0.038777;0.259043;0.258579;0.325526;0.324943;;;0.007787;0.007774;0.008532;0.008517;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;232042.73;0;0;3298289.51
00.332.266/0001-31;2017-12-31;1;0.030485;0.030432;0.026488;0.026442;0.110218;0.110027;0.032273;0.032217;0.040455;0.040385;0.019398;0.019365;0.028189;0.02814;0.041416;0.041343;0.018455;0.018423;0.008528;0.008513;0.042939;0.042864;0.032211;0.032155;0.241477;0.241056;0.327468;0.326898;;;0.013361;0.013338;0.020779;0.020743;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;1955465.16;0;0;803597.18
00.613.094/0001-74;2017-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163751.62;;;
00.613.094/0001-74;2017-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103478.81;;;
00.613.094/0001-74;2017-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140968.33;;;
00.613.094/0001-74;2017-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18810.77;;;
00.762.723/0001-28;2017-03-31;2;0;0;0.000650198903729387;0.00064682777694294;0.00112543074907927;0.00111959565812056;0.240567703480031;0.239320417111961;0;0;0;0;0.0453323271070877;0.0450972897649357;0.000784697191243695;0.000780628722801994;0.0197565297556806;0.019654096844329;0.00175742408350423;0.0017483122573091;0.00423689649395672;0.0042149291925967;0.265990333954443;0.264611237289428;0.210786413322977;0.209693535866407;0.209012044958267;0.207928367179963;1;0.994815;;;;;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;8918.43;0;0;1322816.38
00.762.723/0001-28;2017-06-30;2;0.000661769520979379;0.000659032606564732;0.00114545835657641;0.00114072102524261;0.244848727030996;0.243836093494433;0;0;0;0;0.0273195256259557;0.0272065388516837;0.000798661273319113;0.000795358208608407;0.0206534375564437;0.0205680200671695;0.00178869833096837;0.00178130071882353;0.00442924362162069;0.00441092536982805;0.270723766029969;0.269604119757142;0.00862793705896973;0.00859225405369862;0.206271255935226;0.205418169239935;0.212731519658976;0.211851714917073;1;0.995895;;;;;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;5654.64;0;0;1234410.59
