CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Fundo_Nao_Listado_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;Data_Encerramento_Trimestre
00.332.266/0001-31;2017-03-31;3;2017-10-19;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2584398;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2017-03-31
00.332.266/0001-31;2017-06-30;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2597475;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2017-06-30
00.332.266/0001-31;2017-09-30;1;2017-11-07;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2628607;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2017-09-30
00.332.266/0001-31;2017-12-31;1;2018-02-08;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2650403;Não;Não;Não;Renda;Shoppings;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00332266000131;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2017-12-31
00.613.094/0001-74;2017-03-31;1;2017-05-12;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2017-03-31
00.613.094/0001-74;2017-06-30;1;2017-08-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2017-06-30
00.613.094/0001-74;2017-09-30;1;2017-11-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2017-09-30
00.613.094/0001-74;2017-12-31;1;2018-02-09;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;Não;Não;Não;Desenvolvimento para Venda;Híbrido;Passiva;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;00613094000174;RUA LAURO MULLER;116;SALAS 2101, 2102 e 2108;BOTAFOGO;RIO DE JANEIRO;RJ;22290-160;(21) 3725-7708;;;www.brkbdtvm.com.br;admfundos.brkb@brookfieldbr.com;2017-12-31
00.762.723/0001-28;2017-03-31;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;36319906;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2017-03-31
00.762.723/0001-28;2017-06-30;2;2017-10-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;36319906;Não;Não;Não;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;Sim;Não;Não;Sim;Não;RIO BRAVO INVESTIMENTOS DTVM LTDA;00762723000128;AV. CHEDID JAFET;222;BLOCO B - 3º ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2017-06-30
