CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
11.268.335/0001-01;2025-03-31;1;Março - 2025;0.009422;0.009422
11.268.335/0001-01;2025-03-31;1;Fevereiro - 2025;-0.053363;-0.053363
11.268.335/0001-01;2025-03-31;1;Janeiro - 2025;0.004009;0.004009
12.005.956/0001-65;2025-03-31;1;jan/25;0.00623515689453833;0.00578449119623394
12.005.956/0001-65;2025-03-31;1;fev/25;0.00648507876863619;0.00625409234381112
12.005.956/0001-65;2025-03-31;1;mar/25;0.00587238765132607;0.00575143280790841
12.681.340/0001-04;2025-03-31;1;Março - 2025;-0.002277;-0.002277
12.681.340/0001-04;2025-03-31;1;Fevereiro - 2025;0.009994;0.009994
12.681.340/0001-04;2025-03-31;1;Janeiro - 2025;0.010116;0.010116
14.410.722/0001-29;2025-03-31;1;Março - 2025;0.010457;0.010457
14.410.722/0001-29;2025-03-31;1;Fevereiro - 2025;0.000221;0.000221
14.410.722/0001-29;2025-03-31;1;Janeiro - 2025;-0.000387;-0.000387
16.685.929/0001-31;2025-03-31;1;01/2025;0.075115;0.075115
16.685.929/0001-31;2025-03-31;1;02/2025;-0.00018;-0.00018
16.685.929/0001-31;2025-03-31;1;03/2025;-0.001096;-0.001096
17.311.079/0001-74;2025-03-31;1;março/2025;-0.000571;-0.000571
17.311.079/0001-74;2025-03-31;1;Feveiro/2025;-0.000933;-0.000933
17.311.079/0001-74;2025-03-31;1;Janeiro/2025;-0.000363;-0.000363
17.870.926/0001-30;2025-03-31;1;Março - 2025;0.015285;0.015285
17.870.926/0001-30;2025-03-31;1;Fevereiro - 2025;0.014905;0.014905
17.870.926/0001-30;2025-03-31;1;Janeiro - 2025;0.00495;0.00495
18.289.950/0001-43;2025-03-31;1;Março - 2025;0.007122;0.007122
18.289.950/0001-43;2025-03-31;1;Fevereiro - 2025;0.007001;0.007001
18.289.950/0001-43;2025-03-31;1;Janeiro - 2025;0.007253;0.007253
18.950.957/0001-64;2025-03-31;1;Março - 2025;-0.098984;-0.098984
18.950.957/0001-64;2025-03-31;1;Fevereiro - 2025;0.004812;0.004812
18.950.957/0001-64;2025-03-31;1;Janeiro - 2025;0.001922;0.001922
20.216.935/0001-17;2025-03-31;1;Janeiro - 2025;-0.040172;-0.040172
20.216.935/0001-17;2025-03-31;1;Fevereiro - 2025;0.041085;0.041085
20.216.935/0001-17;2025-03-31;1;Março - 2025;0.056717;0.056717
21.500.514/0001-86;2025-03-31;1;Março - 2025;-0.002251;-0.002251
21.500.514/0001-86;2025-03-31;1;Fevereiro - 2025;0.005035;0.005035
21.500.514/0001-86;2025-03-31;1;Janeiro - 2025;0.00675;0.00675
23.740.527/0001-58;2025-03-31;1;Março - 2025;0.000731;0.000731
23.740.527/0001-58;2025-03-31;1;Fevereiro - 2025;0.008952;0.008952
23.740.527/0001-58;2025-03-31;1;Janeiro - 2025;0.009653;0.009653
23.740.552/0001-31;2025-03-31;1;Março - 2025;-0.079312;-0.079312
23.740.552/0001-31;2025-03-31;1;Fevereiro - 2025;-0.070673;-0.070673
23.740.552/0001-31;2025-03-31;1;Janeiro - 2025;-0.063911;-0.063911
23.740.595/0001-17;2025-03-31;1;Março - 2025;0.007845;0.007845
23.740.595/0001-17;2025-03-31;1;Fevereiro - 2025;-0.001733;-0.001733
23.740.595/0001-17;2025-03-31;1;Janeiro - 2025;0.011314;0.011314
27.368.600/0001-63;2025-03-31;1;Março - 2025;0.000573;0.000573
27.368.600/0001-63;2025-03-31;1;Fevereiro - 2025;0.009205;0.009205
27.368.600/0001-63;2025-03-31;1;Janeiro - 2025;0.010191;0.010191
28.737.771/0001-85;2025-03-31;1;03/2025;0.010998;0.01082968252958
28.737.771/0001-85;2025-03-31;1;02/2025;0.009331;0.00916157761309
28.737.771/0001-85;2025-03-31;1;01/2025;0.011515;0.01134540869239
28.893.734/0001-66;2025-03-31;1;Março - 2025;-0.012978;-0.012978
28.893.734/0001-66;2025-03-31;1;Fevereiro - 2025;-0.012308;-0.012308
28.893.734/0001-66;2025-03-31;1;Janeiro - 2025;-0.076761;-0.076761
32.287.811/0001-01;2025-03-31;1;01/2025;-0.000539;-0.000539
32.287.811/0001-01;2025-03-31;1;02/2025;-0.000683;-0.000683
32.287.811/0001-01;2025-03-31;1;03/2025;-0.000654;-0.000654
34.691.925/0001-48;2025-03-31;1;Janeiro - 2025;-0.006983;-0.006983
34.691.925/0001-48;2025-03-31;1;Fevereiro - 2025;-0.006304;-0.006304
34.691.925/0001-48;2025-03-31;1;Março - 2025;-0.010534;-0.010534
35.652.102/0001-76;2025-03-31;1;01/2025;0.010238;0.01013180736347
35.652.102/0001-76;2025-03-31;1;02/2025;0.007272;0.00718634856261
