CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Outras_Caracteristicas_Relevantes;Area;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
10.456.799/0001-89;2025-03-31;1;Av. Dr. Nilo Peçanha, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 154 , lotes do 14 ao 22.;Nenhuma;4513.65;0;0
10.456.799/0001-89;2025-03-31;1;Rua Cel Genes Bento, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 23 ao 27.;Nenhuma;2783.22;0;0
10.456.799/0001-89;2025-03-31;1;Rua Juncal, 40, 50 e 60, Vila Ipiranga, Porto Alegre-RS. Quadra 154, lotes do 28 ao 30.;Nenhuma;1578.24;0;0
10.456.799/0001-89;2025-03-31;1;Av. Nilo Peçanha, 3410, 3420 e 3430, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 153, lotes 1 ao 12.;Nenhuma;5445.18;0;0
10.456.799/0001-89;2025-03-31;1;Av. Nilo Peçanha, 3530, Bairro Chácara das Pedras, Porto Alegre-RS. Quadra 14, lote 631.;Nenhuma;554.23;0;0
10.456.799/0001-89;2025-03-31;1;Rua Vinte e Quatro de Maio 368, Vila Rosa, Novo Hamburgo-RS. Lotes A e B.;Nenhuma;13345.19;0;0
10.456.799/0001-89;2025-03-31;1;Av. Nações Unidas s/n, Vila Rosa, Novo Hamburgo-RS. Lote C.;Nenhuma;31744.81;0;0
10.456.799/0001-89;2025-03-31;1;Av. Severo Dullius, 895, Bairro São João, Porto Alegre-RS;Nenhuma;3000.1;0;0
10.456.799/0001-89;2025-03-31;1;Av. Severo Dullius, 1025, Bairro São João, Porto Alegre-RS;Nenhuma;4400;0;0
10.456.799/0001-89;2025-03-31;1;Av. Dos Estados, 1713, Bairro São João, Porto Alegre-RS;Nenhuma;14154.41;0;0
10.456.799/0001-89;2025-03-31;1;Rua Mirim, 146, Vila Ipiranga, Porto Alegre-RS;Nenhuma;217;0;0
10.456.799/0001-89;2025-03-31;1;Av. Manoel Elias, 891 e 901, Passo das Pedras, Porto Alegre-RS;Nenhuma;23157.42;0;0
10.456.799/0001-89;2025-03-31;1;Rua Dietrich Hilbk, Bairro Morro do Espelho, São Leopoldo-RS;Nenhuma;1302.12;0;0
10.456.799/0001-89;2025-03-31;1;Av. Maua, 3164, São Leopoldo-RS (8 lotes lindeiros);Nenhuma;19210.31;0;0
11.268.335/0001-01;2025-03-31;1;Fazenda Indaiatuba - Alameda Porteira de Ferro;Nenhuma característica relevante;37303;0.090686;0.002216
11.326.746/0001-06;2025-03-31;1;Rua Amanas S/N, Qd C Lt 03 - Quinta dos Anjicos II - Jd.Maranhão;Projetado um loteamento para o local, onde o terreno em questão está incluso;6179;0;0
11.326.746/0001-06;2025-03-31;1;Rodovia Dom Pedro I, altura do KM 131 - Fazenda São Quirino;Trata-se de um terreno localizado s margens da Rodovia Dom Pedro I, próximo do Shopping Galleria e de outros equipamentos comerciais, com acesso fácil e rápido.;31564.06;0;0
11.326.746/0001-06;2025-03-31;1;Aldeia Itajuba, 0, Chacaras Joapiranga II - Valinhos/SP;O imóvel está localizado na marginal da Rodovia Anhanguera em uma localidade industrial, com acesso tido como fácil rápido.;17305;0;0
11.326.746/0001-06;2025-03-31;1;Rua Cica , 645, Esquina com Rua São Luis - Jardim Cica;Trata-se de um terreno localizado em uma via comercial com vários empreendimentos de âmbitos locais. Além disso, está próximo de vias de circulação intensa e fluxos rápidos e fáceis, o que contribui para uma localização tida como boa;12841;0;0
11.326.746/0001-06;2025-03-31;1;Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP;O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.;50043.7;0;0
11.326.746/0001-06;2025-03-31;1;Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP;O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.;98318.96;0;0
11.326.746/0001-06;2025-03-31;1;Rua das Indústrias, 250  x Rua Clark, Morro das Pedras, Valinhos / SP;Os imóveis são atualmente terrenos vazios que pertecem a região administrativa da Macuco, originados a partir do desmembramento da Gleba C da fazenda Morro das Pedras, no município de Valinhos - SP.;9932.52;0;0
12.927.767/0001-40;2025-03-31;1;Avenida Francisco Bicalho, nº 146, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro.;O FII RP detém o domínio útil do imóvel, adquirido mediante integralização de cotas com bem imóvel.;14141;0.226699;0
12.927.767/0001-40;2025-03-31;1;Avenida Pedro II, nº 67, Bairro São Cristóvão, Município do Rio de Janeiro, Estado do Rio de Janeiro;O FII RP detém o domínio, posse, direitos e ação, adquirido mediante incorporação de bem imóvel.;18400;0.260435;0
12.927.767/0001-40;2025-03-31;1;Avenida Francisco Bicalho, nº 49, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;O FII RP detém o domínio útil do imóvel, adquirido mediante incorporação de bem imóvel.;32240;0.395975;0
12.927.767/0001-40;2025-03-31;1;Rua General Luiz Mendes de Moraes, nº 50, Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;O FII RP detém o domínio útil do imóvel, adquirido mediante incorporação de bem imóvel.;15021.18;0.116892;0
12.969.125/0001-03;2025-03-31;1;Avenida Monte Cristo, 386;Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR;2975;0.00428393234001761;0.00428924159929561
12.969.125/0001-03;2025-03-31;1;Avenida Monte Cristo, 388;Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR;11770;0.000642939274521404;0.000643736096468509
12.969.125/0001-03;2025-03-31;1;Avenida Monte Cristo, 390;Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR;525;0.00106923596741059;0.00107056111695306
12.969.125/0001-03;2025-03-31;1;Avenida Monte Cristo, 400;Dação em pagamento da fração ideal de 40% dos imóveis da Lago da Floresta em favor do Fundo, em cumprimento aos acordos celebrados junto a SIPAR;1050;0.00171392235952581;0.00171604649629241
12.989.974/0001-29;2025-03-31;1;Avenida São Cristovão, nº 1200, Bairro São Cristóvão, Município do Rio de Janeiro, Estado do Rio de Janeiro;O FII PM detém o domínio útil do imóvel, adquirido mediante compra e venda.;86592.3;0.945872;0
12.989.974/0001-29;2025-03-31;1;Praça Marechal Hermes, nº 63, LOTE 1 , QUADRAS 3 e 4. Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;O FII PM detém o domínio útil do imóvel, adquirido mediante compra e venda.;18571.95;0.054178;0
13.320.290/0001-00;2025-03-31;1;Avenida Luiz Gushiken, S/n°, Sem Complemento, Fazenda Grande, Jundiaí/SP, Brasil, 13212-437;Direito de Propriedade;27093.26;0.4544274530628;0
13.320.290/0001-00;2025-03-31;1;Avenida Francisco Roveri, S/n°, Sem Complemento, Parque Almerinda Pereira Chaves, Jundiaí/SP, Brasil, 13212-541;Direito de Propriedade;108556.75;0.5455725469372;0
13.555.918/0001-49;2025-03-31;1;Rodovia Presidente Dutra, Km 192 - Queimados - RJ.;Possui acesso pela estrada Olegório maciel conectando-se a área urbana da cidade a 3 km do centro da cidade, assim como estação de trem da Supervia e toda a rede de comércio (bancos, supermercados e shoppings).;109619.53;0.76;0
13.555.918/0001-49;2025-03-31;1;Rodovia Presidente Dutra, Km 189 e 190 - Queimados - RJ.;Queimados - RJ.Situado entre os municípios de nova iguaçu - RJ e Queimados próximo a entrada da cidade de Queimados;116446.84;0.24;1
13.598.226/0001-88;2025-03-31;1;RODOVIA WALDOMIRO CORREA CAMARGO KM 63 - ITU - SP;ID 164 RODOVIA WALDOMIRO CORREA CAMARGO KM 63 - ITU - SP;164996.69;0.096826;0
13.598.226/0001-88;2025-03-31;1;RODOVIA WALDOMIRO CORREA CAMARGO KM 63 - ITU - SP;ID 165 RODOVIA WALDOMIRO CORREA CAMARGO KM 63 - ITU - SP;810291.35;0.198556;0
13.598.226/0001-88;2025-03-31;1;LUCAS N GARCEZ, 320;ID 197 MATRICULA 52.114;255.15;0.006011;0
13.598.226/0001-88;2025-03-31;1;LUCAS N GARCEZ, 310;ID 199 MATRICULA 85.732;303.07;0.007168;0
13.598.226/0001-88;2025-03-31;1;RUA CALIFORNIA, 1381;ID 213 MATRICULA 134.796;5417;4.7E-05;0
13.598.226/0001-88;2025-03-31;1;AV J R MARINHO;ID 223 MATRICULA 92.477;204;0.013022;0
13.598.226/0001-88;2025-03-31;1;RUA BRAMMER NETTO, 14;ID 72 MATRICULA 107.639;232;0.023407;0
13.598.226/0001-88;2025-03-31;1;RUA NIAGARA, 51;ID 214 MATRICULA 275.088;225;0.008811;0
13.598.226/0001-88;2025-03-31;1;AV J. MARINHO;ID 74 MATRICULA 77.654;95;0.003709;0
13.598.226/0001-88;2025-03-31;1;AV J. MARINHO;ID 75 MATRICULA 77.673;90;0.003511;0
13.598.226/0001-88;2025-03-31;1;RUA NIAGARA, 59;ID 97 MATRICULA 85.449;310;0.011959;0
13.598.226/0001-88;2025-03-31;1;RUA OSCAR GOMES CARDIM;ID 100 MATRICULA 135708;872;0.024556;0
13.598.226/0001-88;2025-03-31;1;RUA GENERAL GLICERIO, 191;ID 121 MATRICULA 94073;1211.55;0.011564;0
13.598.226/0001-88;2025-03-31;1;PERNAMBUCO, 14;ID 151 MATRICULAS 50772 E 50773;1280;0.01119;0
13.598.226/0001-88;2025-03-31;1;ROD WALDOMIRO CORREA KM 58;ID 166 MATRICULA 92730;48110.01;0.065721;0
13.598.226/0001-88;2025-03-31;1;PRES KENNEDY;ID 193 MATRICULA 23477;70752;0.348566;0
13.598.226/0001-88;2025-03-31;1;CONEGO DOMENICO, GUARUJA;ID 248 MATRICULA 108172;100500;0.087013;0
13.598.226/0001-88;2025-03-31;1;RUA ARAÇAÍBA, 149;ID 264 MATRICULA 66593;500;0.020037;0
13.598.226/0001-88;2025-03-31;1;RUA ARAÇAÍBA, 139;ID 265 MATRICULA 66576;250;0.015796;0
13.598.226/0001-88;2025-03-31;1;RUA ARAÇAÍBA, 140;ID 266 MATRICULA 274002;250;0.01397;0
13.598.226/0001-88;2025-03-31;1;RUA RIBEIRO DO VALE, 222;ID 336 MATRICULA 66600;66.2;0.000925;0
13.598.226/0001-88;2025-03-31;1;RUA BENTO QUIRINO, 727;ID 42 MATRICULA 13616;1280;0.014166;0
13.598.226/0001-88;2025-03-31;1;RUA MANDU, 382;ID 86 MATRICULA 47492;720;0.013469;0
14.074.706/0001-02;2025-03-31;1;Moutain View Residencial;Próximo a Rua dos Industriários, Cidade Nova Lima - MG;500000;0.686;0.686
14.217.108/0001-45;2025-03-31;1;R. D. Francisca, 8300 - Dist. Indl - Joinville -SC;Matricula;277714.5;0.194537;0
14.217.108/0001-45;2025-03-31;1;R. Alemanha, nº 0 - Bairro Gloria Joinville - SC;Matricula;10635.13;0.058188;0
14.217.108/0001-45;2025-03-31;1;R. Silva Jardim, nº 0 - Bairro Gloria-Joinville-SC;Matricula;33650;0.18411;0
14.217.108/0001-45;2025-03-31;1;R. Otto Berner, nº 0 - Baiiro Gloria-Joinville-SC.;Matricula;36575;0.200114;0
14.217.108/0001-45;2025-03-31;1;R. Silva Jardim, nº 0 - Bairro Atiradores-Joinville-SC;Matricula;2100;0.01149;0
14.217.108/0001-45;2025-03-31;1;R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC;Matricula;2516.3;0.013768;0
14.217.108/0001-45;2025-03-31;1;R. Sd 40187, nº 0 - Bairro Gloria - Joinville - SC;Matricula;30367.1;0.166148;0
14.217.108/0001-45;2025-03-31;1;R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC;Matricula;14587.09;0.079811;0
14.217.108/0001-45;2025-03-31;1;R. D. Nelson N. Guimareaes, nº - Bairro Gloria - Joinville - SC;Matricula;16784.49;0.091834;0
15.447.108/0001-02;2025-03-31;1;Av. Rotary, 1350. Guarulhos / SP - 07042-000;Não possui caracteristicas que destoem dos demais;16756.36;0;0
15.447.108/0001-02;2025-03-31;1;Avenida Rotary, 1151. Guarulhos / SP - 07042-000;Não possui caracteristicas que destoem dos demais;8459.3;0;0
15.489.509/0001-17;2025-03-31;1;Araxá - Capela de Santo Antônio - Bairro Alto, Araxá/MG;Contrato de Cessão de Superfície;15621;0.193607;0.0081
15.489.509/0001-17;2025-03-31;1;Bonfim - Localizado à Rua Barão de Retiro, 310 - Bairro Bonfim, Juiz de Fora/MG;Não se aplica;8360;0.094087;0
15.489.509/0001-17;2025-03-31;1;Uberlandia - Localizado à Rua Safra, 2111, Bairro Minas Gerais, Uberlândia/MG;Não se aplica;111064;0.328771;0
15.489.509/0001-17;2025-03-31;1;Expo Minas - Localizado à Rodovia BR-040, Km 790, Expo Minas - Bairro Fazendinha São Pedro, Juiz de Fora /MG;Não se aplica;72037;0.249537;0
15.489.509/0001-17;2025-03-31;1;Granja - R. Renato Pandolfi, 121 - Bairro Jd. De Alah, Juiz de Fora/MG (Granja Ipiranga);Não se aplica;24200;0.075836;0
15.489.509/0001-17;2025-03-31;1;Panorama - R. Americo Lobo - MZ SB Juiz de Fora/MG;Não se aplica;4939;0.058162;0
16.915.968/0001-88;2025-03-31;1;Av. Corifeu de Azevedo Marques, 3870, Butantã, São Paulo - SP;O imóvel foi adquirido por escritura de compra e venda, não há onus reais sobre o imóvel;890;1;0
18.369.510/0001-04;2025-03-31;1;Rodovia PR 445, km 85 - Lote 250 - A2-2, Cambé-PR.;RIO JACUTINGA S.A.;396258.23;1;0
18.929.353/0001-36;2025-03-31;1;Rua dos Otoni, 177 - Santa Efigênia - BH/MG;Edifício comercial, construído em 2014, composto por um único bloco, totalmente ocupado pela Direcional Engenharia como sede da empresa, mediante um contrato de locação de longo prazo.;9100.08;0;0
18.950.957/0001-64;2025-03-31;1;Rodovia MT - 208, Alta Floresta/MT;Terreno;29153.15;0.004;0.012027
18.950.957/0001-64;2025-03-31;1;Rua Francisco Cervi - Brusque - SC;Terreno;52362.7;0.000115;0
18.950.957/0001-64;2025-03-31;1;Rua Anfiloquio Nunes Pires, 49, Bela Vista - Gaspar - SC;Terreno;15824.21;0.002279;0
18.950.957/0001-64;2025-03-31;1;Rodovia BR 116, lateral com a Rua Wilson Feijó - Parolin - Curitiba - PR;Terreno;14771.1;0.010521;0.015716
18.950.957/0001-64;2025-03-31;1;Avenida Parigot de Souza, n° 1561, Jardim Porto Alegre - Toledo - PR;Terreno;25013;0.011483;0
21.862.783/0001-92;2025-03-31;1;Avenida Projetada,Povoado Mosqueiro - Aracaju - Sergipe;Empreendimento Residencial Morada do Lago;87948.51;1;0
22.340.978/0001-35;2025-03-31;1;Rua Antonio F. Ozanan, 11070 - Jundiaí;Matricula 61.468;15629;0.419683;0.00904860685386726
22.340.978/0001-35;2025-03-31;1;Lote 04 quadra 2 - "Loteamento Sítio Taguaiba" - Guarujá;Matricula 65.154;1860;0.193782;0
22.340.978/0001-35;2025-03-31;1;Av Senador Teotônio Villela, 26 (antiga Estrada de Rodagem Santo Amaro) - Parelheiros - SP;Matricula 297.603;6299;0.386535;0
24.514.406/0001-50;2025-03-31;1;Área Sul da Fazenda Praia do Forte, Município de Mata de São João, Bahia.;Área de terra denominada PR-01.1, PR-02.1, PR-03 e AS-04 resultante do amenbramento  de área de terras situada na área sul da Fazenda Praia do Forte, Município de Mata de São João, Bahia - Matrícula nº 27.444.;1232845.51;0;0
24.514.406/0001-50;2025-03-31;1;TUCURUÍ EMP - TERRENO URBANO, situado no lugar denominado "Taípe", às margens do córrego do Pitinga, na Estrada Arraial/Trancoso, em Arraial d'Ajuda, no Município de Porto Seguro, Bahia,;Medidas e confrontações constantes na matrícula 33.535 devidamente registrada no Registro Geral, do Ofício do Registro de Imóveis da Comarca de Porto Seguro, Bahia.;3767900;0;0
24.514.406/0001-50;2025-03-31;1;Terreno urbano - Conjunto Beija Floro e Nova Esperança. situada no Córrego Braço Direito do Rio do Norte, no município de PortoSeguro/BA,;Área total de 399.483,00 m² (trezentos e noventa e nove mil, quatrocentos e oitenta e três metros quadrados) e um perímetro de 3.000,808 em terras próprias, conforme descrição e caracterização da matrícula de n. 44.569 registrada junto ao Cartório de Registro de Imóveis da comarca de Porto Seguro/BA.;399483;0;0
24.514.406/0001-50;2025-03-31;1;Área da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, em 21/12/2021;Área de terra contemplada com o termo de reserva legal da Fazenda Praia do Forte, Distrito de Açu da Torre, Município de Mata de São João, Bahia, identificada com AS-04, desmembrada da Matrícula nº 15.221, conf medidas e confrontações constantes na Matrícula nº 15.347.;55449.43;0;0
24.976.492/0001-13;2025-03-31;1;Av Ulysses reis de Mattos, Av Duquesa de Goias e Av Magalhães de Castro;Terrenos para construção de Shopping;160000;1;1
26.269.251/0001-60;2025-03-31;1;Av. José Biscio n° 53, Guariba - SP;Loteamento Industrial denominado "Parque Industrial Gov. Mario Covas", Formato irregular, Lotes n° 86,87,88,89,90 e 91.;8742.37;1;1
26.452.053/0001-37;2025-03-31;1;Avenida Inocêncio Seráfico, 3444, Vila Dirce, Município de Carapicuíba, Estado de São Paulo.;Terreno;2220;0;0
27.368.617/0001-10;2025-03-31;1;Coordenadas UTM N=7.803.827,02 - E=598.794,65, localizado junto à margem esquerda da Av. das Comtendas, CEP 32184-010 - Contagem-MG;Matrícula nº 155.707. Fazendo Boa Vista. Fundo é proprietário de 100% do terreno, sem ônus.;210442.43;0.995217;0
27.368.617/0001-10;2025-03-31;1;Parque Nacional da Serra do Gandarela - Reserva Ambiental. N/A, CEP 35450-000 - Itabirito - MG.;Matrícula nº 30.803;31059;0.004783;0
27.538.422/0001-71;2025-03-31;1;Av. Colombo, 9322 - Gleba Patrimônio, PR;IM.MARINGÁ;43655.34;1;0
27.538.477/0001-81;2025-03-31;1;Rodovia Anhanguera,299 Lote 02 Quadra 02 - 1ª Gleba Condominio Fazenda Santa Maria -Cravinhos -SP;14272_27538 - Matricula 14 272;1500;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Doutor Newton Mendes Garcia,55 Lote 01 - Quadra 01 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L01Q01 - Matricula 171 084;2865.94;0;0
27.538.477/0001-81;2025-03-31;1;Regina Lúcia Balieiro Moço,135 Lote 01 - Quadra 03 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L01Q03 - Matricula 171 099;2854;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Doutor Newton Mendes Garcia,85 Lote 02 - Quadra 01 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L02Q01 - Matricula 171 085;3067.01;0;0
27.538.477/0001-81;2025-03-31;1;Regina Lúcia Balieiro Moço,185 Lote 02 - Quadra 03 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L02Q03 - Matricula 171 100;2819.81;0;0
27.538.477/0001-81;2025-03-31;1;Regina Lúcia Balieiro Moço,235 Lote 03 - Quadra 03 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L03Q03 - Matricula 171 101;4499.72;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Doutor Newton Mendes Garcia,180 Lote 04  - Quadra 02 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L04Q02 - Matricula 205 886;3171.53;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Arthur Furquim,625 Lote 04 - Quadra 03 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L04Q03 - Matricula 171 102;4341.75;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Doutor Newton Mendes Garcia,235 Lote 05 - Quadra 01 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L05Q01 - Matricula 171 088;3215.79;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Doutor Newton Mendes Garcia,230 Lote 05 - Quadra 02 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L05Q02 - Matricula 205 885;3699.37;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Arthur Furquim,0 Lote 05 - Quadra 03 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L05Q03 - Matricula 171 103;3673.88;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Arthur Furquim,450 Lote 06 - Quadra 01 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L06Q01 - Matricula 171 089;300.62;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Arthur Furquim,530 Lote 06 - Quadra 02 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L06Q02 - Matricula 171 095;4658.25;0;0
27.538.477/0001-81;2025-03-31;1;Estrada Jornalista Rubens Volpe Filho,0 Lote 06 - Quadra 03 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L06Q03 - Matricula 171 104;29687.75;0;0
27.538.477/0001-81;2025-03-31;1;Alameda Arthur Furquim,570 Lote 07 - Quadra 02 Jardim Olhos D' Água -Ribeirão Preto -SP;MONT L07Q02 - Matricula 171 096;3873.9;0;0
