CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
08.706.065/0001-69;2025-03-31;1;Ibis Sao Paulo Paulista;Avenida Paulista, 2355, Sem Complemento, Bela Vista, Sao Paulo/SP, Brasil, 01311-300;2025-02-03;106.2;1;Direito de Propriedade;0.00151874087215;0.00153433998849
09.072.017/0001-29;2025-03-31;1;GVT Curitiba;Rua Francisco Nunes, 1395 - Curitiba - PR;2025-02-28;9163.74;1;-;0.021753;0.021632
11.827.568/0001-05;2025-03-31;1;Rua Penido Bumier;Rua Penido Bumier;2025-01-27;1;1;Penido burnier;0.0214;0.0045
14.631.148/0001-39;2025-03-31;1;DUQUE DE CAXIAS;Galpão Comercia l/Industrial e seu respectivo terreno sito à Rodovia Washington Luiz (BR040 Km 108, nº 18.720. Duque de Caxias Rio de Janeiro;2025-01-15;8566.89;1;Galpão Comercial/Industrial;0.0647;0.0578
15.461.076/0001-91;2025-03-31;1;THE ONE OFFICE;Av. Itália esquina com a Rua Jurandir Martins - Taubaté SP;2025-02-01;269.48;5;Unidades 1901/1505/1902/1707 e 1708;0.0143;0.013
21.126.204/0001-43;2025-03-31;1;Rua da Paz, 338 - Afogados;Rua da Paz, 338 - Afogados;2025-01-28;1272;1;N/A;0.006094;0.006085
24.703.709/0001-11;2025-03-31;1;Apto Nº114 - Ed Caroline ;Rua Urimonduba, nº 114;;;1;Unidade localizada no Apto Nº114 - Ed Caroline ;0;0
24.703.709/0001-11;2025-03-31;1;Apto Nº104 - Ed. Guaraí - R. Dr. Mello;Rua Dr. Mello Alves nº 247;;;1;Unidade localizada no Apto Nº104 - Ed. Guaraí - R. Dr. Mello;0;0
24.703.709/0001-11;2025-03-31;1;Apto Nº112 - Mourato Coelho;Mourato Coelho, 112;;;1;-;0;0
24.796.967/0001-90;2025-03-31;1;Edificio Yolanda;Alameda Lorena, 706, Sem Complemento, Jardim Paulista, São Paulo/SP, Brasil, 01424-000;2025-02-20;188.82;2;Direito de Propriedade;0.01593589905904;1.8436218411097
