CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
12.358.507/0001-09;2021-12-31;2;Arez - RN;2021-12-10;6;Desapropriação Arez  - RN;0.0002695;0.000124
12.989.974/0001-29;2021-03-31;2;Praça Marechal Hermes, nº 63, LOTE 1 QUADRA 2 - Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;2021-03-25;14348.9;A transferência do imóvel está em tramitê no 2º Ofício de Registro de Imóveis da Comarca do Rio de Janeiro-RJ;0.002059;0.018578
12.989.974/0001-29;2021-06-30;1;Praça Marechal Hermes, nº 63, LOTE 1 QUADRA 2 - Bairro Santo Cristo, Município do Rio de Janeiro, Estado do Rio de Janeiro;2021-03-25;14348.9;A transferência do imóvel está em tramitê no 2º Ofício de Registro de Imóveis da Comarca do Rio de Janeiro-RJ;0.002059;0.018578
15.489.509/0001-17;2021-12-31;1;Araxá - Capela de Santo Antônio - Bairro Alto - Araxá-MG;2021-12-09;15621;Não se aplica;0.008;0.0079
15.489.509/0001-17;2021-12-31;1;Rio Pomba - Av. do Contorno, Bairro Cel. José Mendonça dos Reis, Rio Pomba-MG;2021-11-25;4956;Não se aplica;0.0022;0.0022
16.915.968/0001-88;2021-09-30;1;Gleba 47, Qt 30.027, Campinas-SP;2021-07-13;103900;Não possui;0.2491;0.01195
16.915.968/0001-88;2021-12-31;2;Rua João Sulinski, 225, Campinas - SP;2021-12-31;45632;Não possui;0.018752;0.000928
17.198.404/0001-34;2021-09-30;1;R. Maria Madalena da Silva Moreira;2021-09-30;630000;1;1;1
23.964.908/0001-10;2021-09-30;1;Rua Dom Lucio Antunes de Souza, 393Santa Cecilia - CEP:18185-000 - Pilar doSul/SP;2021-09-01;36;N/A;0.013102;0.011879
27.486.542/0001-72;2021-12-31;1;Rodovia Miguel Melhado Campos, SP-324, Km 81,5, Itupeva - SP;2021-11-19;340950;-;1;0.0761
30.492.505/0001-81;2021-09-30;1;Avenida Professor Pereira Reis, 76;2021-09-30;7175;Matrícula 105.480, do 2° Registro de Imóveis do Rio de Janeiro/RJ;1;0.171518
34.895.711/0001-93;2021-03-31;1;Q1149  Alphaville Burle Marx;2021-03-30;447.25;Direito de propriedade;0.027644;0.0199463
34.895.711/0001-93;2021-06-30;1;Q1232  Alphaville Burle Marx;2021-05-28;477.08;Direito de propriedade;0.030326;0.019105
34.895.711/0001-93;2021-06-30;1;Alphacastello C05;2021-05-20;514.06;Direito de propriedade;0.017175;0.013708
