CNPJ_Fundo_Classe;Data_Referencia;Versao;Percentual_Vencimento_Valor_Total_Faixa_Ate_3Meses;Percentual_Vencimento_Receita_FII_Faixa_Ate_3Meses;Percentual_Vencimento_Valor_Total_Faixa_3a6Meses;Percentual_Vencimento_Receita_FII_Faixa_3a6Meses;Percentual_Vencimento_Valor_Total_Faixa_6a9Meses;Percentual_Vencimento_Receita_FII_Faixa_6a9Meses;Percentual_Vencimento_Valor_Total_Faixa_9a12Meses;Percentual_Vencimento_Receita_FII_Faixa_9a12Meses;Percentual_Vencimento_Valor_Total_Faixa_12a15Meses;Percentual_Vencimento_Receita_FII_Faixa_12a15Meses;Percentual_Vencimento_Valor_Total_Faixa_15a18Meses;Percentual_Vencimento_Receita_FII_Faixa_15a18Meses;Percentual_Vencimento_Valor_Total_Faixa_18a21Meses;Percentual_Vencimento_Receita_FII_Faixa_18a21Meses;Percentual_Vencimento_Valor_Total_Faixa_21a24Meses;Percentual_Vencimento_Receita_FII_Faixa_21a24Meses;Percentual_Vencimento_Valor_Total_Faixa_24a27Meses;Percentual_Vencimento_Receita_FII_Faixa_24a27Meses;Percentual_Vencimento_Valor_Total_Faixa_27a30Meses;Percentual_Vencimento_Receita_FII_Faixa_27a30Meses;Percentual_Vencimento_Valor_Total_Faixa_30a33Meses;Percentual_Vencimento_Receita_FII_Faixa_30a33Meses;Percentual_Vencimento_Valor_Total_Faixa_33a36Meses;Percentual_Vencimento_Receita_FII_Faixa_33a36Meses;Percentual_Vencimento_Valor_Total_Faixa_Acima_36Meses;Percentual_Vencimento_Receita_FII_Faixa_Acima_36Meses;Percentual_Vencimento_Valor_Total_Faixa_Indeterminado;Percentual_Vencimento_Receita_FII_Faixa_Indeterminado;Percentual_Indexador_Valor_Total_IGPM;Percentual_Indexador_Receita_FII_IGPM;Percentual_Indexador_Valor_Total_INPC;Percentual_Indexador_Receita_FII_INPC;Percentual_Indexador_Valor_Total_IPCA;Percentual_Indexador_Receita_FII_IPCA;Percentual_Indexador_Valor_Total_INCC;Percentual_Indexador_Receita_FII_INCC;Caracteristicas_Contratuais;Politica_Contratacao_Seguro_Imovel_Renda_Acabado;Politica_Contratacao_Seguro_Imovel_Renda_Construcao;Politica_Contratacao_Seguro_Imovel_Venda_Acabado;Politica_Contratacao_Seguro_Imovel_Venda_Construcao;Ativo_Liquidez_Valor_Disponibilidades;Ativo_Liquidez_Valor_Titulos_Publicos;Ativo_Liquidez_Valor_Titulos_Privados;Ativo_Liquidez_Valor_Fundos_Renda_Fixa
00.332.266/0001-31;2021-03-31;1;0.025745;0.025349;0;0;0.123902;0.121995;0.022873;0.022521;0.019043;0.01875;0.026043;0.025642;0.00648;0.00638;0.005752;0.005663;0.013536;0.013328;0.009833;0.009682;0.035454;0.034909;0.013664;0.013454;0.697675;0.686942;0;0;;;0.006029;0.005936;0.086776;0.085441;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;166124.25;;;5876370.8
00.332.266/0001-31;2021-06-30;1;0.014953;0.014798;0;0;0.137145;0.135726;0.020565;0.020352;0.025799;0.025533;0.005215;0.005161;0.008067;0.007984;0.012034;0.01191;0.012654;0.012523;0.04304;0.042595;0.018292;0.018103;0.001643;0.001626;0.128355;0.127025;0.572238;0.566316;0.000745;0.000737;0.006193;0.006129;0.0978;0.096788;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;62996.44;;;5684205.37
00.332.266/0001-31;2021-09-30;1;0.00668;0.006543;0;0;0.099279;0.097255;0.022861;0.022395;0.012201;0.011952;0.006124;0.005999;0.009681;0.009483;0.00922;0.009032;0.041259;0.040418;0.014419;0.014125;0.001652;0.001618;0.02315;0.022678;0.102793;0.100697;0.650683;0.637418;0;0;0.005679;0.005563;0.054588;0.053475;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;194764.89;;;21213087.69
00.332.266/0001-31;2021-12-31;1;0;0;0;0;0.103764;0.101979;0.022119;0.021739;0.009786;0.009618;0.012491;0.012276;0.007263;0.007138;0.038706;0.038041;0.01779;0.017484;0.001583;0.001556;0.02352;0.023116;0.023765;0.023356;0.125722;0.12356;0.613491;0.602942;0.000431;0.000424;0.008687;0.008538;0.080615;0.079228;;;Contratos típicos de 5 anos, ajustados anualmente pelo indíce IGP-DI com garantia de Fiadores.;Contratação do seguro realizado pelo empreendimento através do condomínio.;;;;215780.99;;;8001575.87
00.613.094/0001-74;2021-03-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.22;;;
00.613.094/0001-74;2021-06-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1234.85;;572320.28;
00.613.094/0001-74;2021-09-30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571551.13;;;
00.613.094/0001-74;2021-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571338.13;;;
00.762.723/0001-28;2021-03-31;1;0.924078427994498;0.919860570958918;0;0;0.00210519253868691;0.00209558361276509;0.0115919951769793;0.0115390847562483;0;0;0;0;0;0;0;0;0.00706487281526778;0.007032625959799;0;0;0.00115062958003911;0.00114537765452879;0;0;0.00293747202456632;0.0029240642480505;0.0510714098699621;0.0508382998882645;0.982086254438432;0.966071;;;0.0036639906361422;0.00349;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M, IGP-DI ou IPCA. O Fundo é proprietário de 75 % do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;3266.04;;;871700.77
00.762.723/0001-28;2021-06-30;1;0.1954273769919;0.193229188918774;0.0259385433015719;0.0256467837876418;0;0;0;0;0;0;0;0;0;0;0.0870478619277369;0.0860687382510751;0;0;0.0141771617737769;0.0140176955393036;0;0;0;0;0.0361932430911492;0.0357861376153692;0.641215812913865;0.634003348754836;0.619577724434129;0.612608647812473;;;0.0119536660840055;0.0118192099672605;;;Os contratos de locação são dos imóveis do Fundo  preveem  período de de garantia de permanência, multa rescisória, necessidade de aviso prévio para rescisão contratual pelo o locatário, correção anual do valor da locação pelo IGP-M ou IGP-DI. O Fundo é proprietário de 75 % do imóvel para renda acabado, citado acima.;É obrigatória a contratação do seguro de preservação dos imóveis, no entanto essa demanada fica a cargo do locatário.;;;;4657.05;;;917013.41
