CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
02.508.235/0001-14;2021-06-30;1;Contagem;Samambaia, Perobas e Campo Do Meio - Contagem -  MG;2021-05-24;2850.36;;n/a;0.0081869979778084;0.008099
03.683.056/0001-86;2021-06-30;1;Edifício Centeco Plaza;Av. Paulista, 1.842 - Paulista;2021-06-01;1152.12;1;n/a;0.02643;0.023669
03.683.056/0001-86;2021-12-31;1;CETENCO PLAZA;Avenida Paulista 1842, Cerqueira Cesar, São Paulo/SP;2021-12-01;2304.24;2;n/a;0.044745;0.046007
08.706.065/0001-69;2021-06-30;1;Double Tree Itaim - UH 1703;R. Manuel Guedes, 320 - Itaim Bibi, São Paulo - SP;2021-06-08;101.5;3;Direito de Propriedade;1;0.001
09.072.017/0001-29;2021-06-30;3;Park Tower;Av. Magalhães de Castro 4.800;2021-05-24;732.24;2;-;0.00441;0.004397
09.072.017/0001-29;2021-06-30;3;Mario Garnero;Av. Brigadeiro Faria Lima 1.485;2021-06-24;1461.68;2;-;0.011137;0.011034
09.072.017/0001-29;2021-12-31;1;Centro Empresarial Mario Garnero;Av. Brigadeiro Faria Lima, 1.485 - São Paulo - SP;2021-10-25;3654.2;5;-;0.000382;0.000381
09.350.920/0001-04;2021-12-31;1;Indianópolis;Indianópolis, 739 - São Paulo - SP;2021-10-31;1125;1;n/a;0.441082;0.442097
11.728.688/0001-47;2021-09-30;1;CEA - Atibaia;Av. Tégula, 888, Ponte Alta - Atibaia - SP;2021-09-22;7747;3;-;0.005347;0.004065
11.839.593/0001-09;2021-06-30;1;60% do Imóvel Itambé;Rua Jerônimo Teles Junior 54, , Pirituba, SP, 04154-010;2021-06-11;3223;1;Direito de Propriedade;0.0301;0.0324
11.839.593/0001-09;2021-06-30;1;60% do Imóvel Supermarket;Estrada Rio D'Ouro 800, , Pavuna, RJ, 21535-030;2021-06-11;6898;1;Direito de Propriedade;0.0138;0.0148
11.839.593/0001-09;2021-09-30;1;Galpão Industrial Ceratti;Rodovia Miguel Melhado Campos 324,  Vinhedo, SP, 13053-090;2021-09-09;6451;1;Direito de Propriedade;0.0263;0.0196
11.839.593/0001-09;2021-09-30;1;Galpão Industrial Magna;Rodovia Miguel Melhado Campos 79, Vinhedo, SP, 13288-003;2021-09-09;4862;1;Direito de Propriedade;0.0117;0.0087
11.839.593/0001-09;2021-09-30;1;Imóvel Itambé;Rua Jerônimo Teles Junior 54, Pirituba, SP, 04154-010;2021-09-09;3223;1;Direito de Propriedade;0.0176;0.0131
11.839.593/0001-09;2021-09-30;1;Imóvel Supermarket;Estrada Rio D'Ouro 800, Pavuna, RJ, 21535-030;2021-09-09;6898;1;Direito de Propriedade;0.008;0.006
12.887.506/0001-43;2021-03-31;3;Campo Largo;Rodovia BR 227, km 107 - Rondinhas - Campo Largo/PR;2021-03-30;4790.84;1;Após o cumprimento de todas das condições precedentes previstas no "Instrumento Particular de Compromisso de Venda e Compra de Bem Imóvel" celebrado em 30 de novembro de 2020, foi finalizada a venda, pelo Fundo, do imóvel localizado em Campo Largo/PR, tendo sido concluído pagamento ao Fundo, em 30 de março de 2021, do preço total ajustado de R$ 5.350.000,00, conforme aprovada pela Consulta Formal realizada em 30 de outubro de 2020.;0.1443;0.1409
13.012.312/0001-67;2021-06-30;1;ALL - CIR - complexo Intermodal de Rondonópolis;BR-163- Km 95 a 23 Km do Centro de Rondonópolis;2021-03-31;146256;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.513087;0.513087
13.012.312/0001-67;2021-06-30;1;Vale do Brejo - Araguari;15 Km de Araguari - MG;2021-03-31;464640;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.418444;0.4184444
13.012.312/0001-67;2021-09-30;1;ALL - CIR - complexo Intermodal de Rondonópolis;BR-163- Km 95 a 23 Km do Centro de Rondonópolis;2021-03-31;146256;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.513087;0.513087
13.012.312/0001-67;2021-09-30;1;Vale do Brejo - Araguari;15 Km de Araguari - MG;2021-03-31;464640;1;Baixa do imóvel pela amortização total do direito de uso de solo;0.418444;0.4184444
13.568.181/0001-07;2021-06-30;1;Estanteria Pouso Alegre;Pouso Alegra;2021-06-30;1;1;Baixa pela amortização de 100% do investimento;0.0669;0.0669
13.568.181/0001-07;2021-09-30;1;Estanteria Pouso Alegre;Pouso Alegra;2021-06-30;1;1;Baixa pela amortização de 100% do investimento;0.0669;0.0669
13.568.181/0001-07;2021-12-31;1;Estanteria Pouso Alegre;Pouso Alegra;2021-06-30;1;1;Baixa pela amortização de 100% do investimento;0.0669;0.0669
13.873.457/0001-52;2021-12-31;1;Consolação - 2320;Rua da Consolação, nºs 2.320 e 2.322 - São Paulo/SP;2021-10-22;586.9;1;Imóvel locado para a Ânima, com contrato do tipo "sale and leaseback".;0.017129;0.017726
13.966.653/0001-71;2021-09-30;1;Ed. Thera Corporate;Av. Engenheiro Luis Carlos Berrini, 105, São Paulo, SP;2021-07-08;10586.16;10;Conjuntos 31, 32, 41, 42, 161, 162, 171, 172, 181 e 182;0.982337;0.981141
14.056.001/0001-62;2021-09-30;1;WALTER ALVES FILHO E JAQUELINE ALVES;ESTRADA DA BARRA 315 - APTO 301 - BL 01;2021-07-23;182;1;n/a;;
14.056.001/0001-62;2021-12-31;2;MARIANO DIAS TEIXEIRA AMORIM DO VALLE;ESTRADA DA BARRA 315 - APTO 302 - BL 01;2021-09-09;182;1;n/a;;
14.733.211/0001-48;2021-03-31;1;Shopping Praça da Moça - 23,06%;Rua Manoel da Nobrega, 712, Centro, Diadema - SP;2021-03-01;29784.27;139;-  -;1;0.9695
15.461.076/0001-91;2021-12-31;1;THE ONE OFFICE;AV.ITÁLIA TAUBATÉ;2021-12-20;48;1;sala 301;0.00379563;0.002012620317
15.461.076/0001-91;2021-12-31;1;CASAS TRANCOSO;ESTRADA ARRAIAL DA AJUDA TRANCOSO;2021-12-22;2767.57;3;RESIDÊNCIA UR-03,UR-14 ,UR 16;0.151988;0.03727074
15.576.907/0001-70;2021-06-30;1;Santander - Juiz de Fora;Av. Barão de Rio Branco, 2519 - MG;2021-06-16;2918;1;imóvel para renda;0.014301;0.013216
15.576.907/0001-70;2021-06-30;1;CEF - Itaquaquecetuba;Rua Sebastião Ferreira dos Santos, nº 93 - Itaqua - SP;2021-06-16;2342.1;1;imóvel para renda;0.005581;0.005158
15.576.907/0001-70;2021-06-30;1;CEF - Hebraica;Av. Brigadeiro Faria Lima, 1644 (Loja) - SP - SP;2021-06-17;315.47;1;imóvel para renda;0.006425;0.005938
15.576.907/0001-70;2021-06-30;1;CEF - Quitaúna;Av. dos Autonomistas, nº 5.386 - Osasco - SP;2021-06-24;2250;1;imóvel para renda;0.005116;0.004728
15.576.907/0001-70;2021-12-31;1;CEF - Bonsucesso;Av. Carmela Thomeu, 557 - Guarulhos/SP;2021-10-15;938.02;1;Imóvel para Renda - Agência Bancária;0.002909;0.002995
15.576.907/0001-70;2021-12-31;1;CEF - Venda Nova;Rua Padre Pedro Pinto, nº 1.580 - BH - MG;2021-10-15;2585.45;1;Imóvel para Renda - Agência Bancária;0.009163;0.009434
16.915.968/0001-88;2021-03-31;1;Way Parque das Nações Apto. 113;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.0909090909090909;0.000681793042120643
16.915.968/0001-88;2021-03-31;1;Way Parque das Nações Apto. 171;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.0909090909090909;0.000681793042120643
16.915.968/0001-88;2021-03-31;1;Way Parque das Nações Apto. 172;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.0909090909090909;0.000681793042120643
16.915.968/0001-88;2021-03-31;1;Way Parque das Nações Apto. 41;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.0909090909090909;0.000681793042120643
16.915.968/0001-88;2021-03-31;1;Way Parque das Nações Apto. 44;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.0909090909090909;0.000681793042120643
16.915.968/0001-88;2021-06-30;2;Way Parque das Nações Apto. 53;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.166666666666667;0.000605045170042041
16.915.968/0001-88;2021-06-30;2;Way Parque das Nações Apto. 63;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.166666666666667;0.000605045170042041
16.915.968/0001-88;2021-06-30;2;Way Parque das Nações Apto. 64;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.166666666666667;0.000605045170042041
16.915.968/0001-88;2021-06-30;2;Way Parque das Nações Apto. 103;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;;58.87;1;Não possui;0.166666666666667;0.000605045170042041
16.915.968/0001-88;2021-09-30;1;Way Parque das Nações Apto. 14;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;2021-08-09;58.87;1;Não possui;0.5;0.000604
16.915.968/0001-88;2021-09-30;1;Way Parque das Nações Apto. 173;Av. Estados Unidos, 92, Parque das Nações - Santo André/SP;2021-08-11;58.87;1;Não possui;0.5;0.000604
16.924.913/0001-34;2021-03-31;2;V.HOUSE - unidade 1403;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2021-01-29;108.35;1;Venda da unidade 1403;0.1229;0.042
16.924.913/0001-34;2021-03-31;2;V.HOUSE - unidade 1804;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2020-01-26;70.84;1;Venda da unidade 1804;0.0697;0.0244
16.924.913/0001-34;2021-03-31;2;V.HOUSE - unidade 1801;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2021-02-10;78.49;1;Venda da unidade 1801;0.0803;0.0283
16.924.913/0001-34;2021-03-31;2;V.HOUSE - unidade 1802;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2021-02-10;70.84;1;Venda da unidade 1802;0.0697;0.0243
16.924.913/0001-34;2021-06-30;1;V.HOUSE - unidade 1403;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2021-01-29;108.35;1;Venda da unidade 1403;0.1229;0.042
16.924.913/0001-34;2021-06-30;1;V.HOUSE - unidade 1804;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2020-01-26;70.84;1;Venda da unidade 1804;0.0697;0.0244
16.924.913/0001-34;2021-06-30;1;V.HOUSE - unidade 1801;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2021-02-10;78.49;1;Venda da unidade 1801;0.0803;0.0283
16.924.913/0001-34;2021-06-30;1;V.HOUSE - unidade 1802;Av. Eusébio Matoso, 218 - Pinheiros, São Paulo - SP, CEP 05423-000;2021-02-10;70.84;1;Venda da unidade 1802;0.0697;0.0243
17.198.500/0001-82;2021-06-30;3;Fazenda São Pedro do Pará;Zona rural do município de Cumaru do Norte, comarca de Redenção, estado do Pará;2021-04-27;46585051;1;Direito de propriedade;0.2441;0.2391
17.209.378/0001-00;2021-06-30;1;TREND HIGIENÓPOLIS-UNID-2204;Rua Santa Isabel, nº 272, Higienópolis, São Paulo - SP;2021-05-21;81;1;MAT - 90.443 - Apartamento Residencial;0.075145;0.0777
17.308.805/0001-08;2021-06-30;1;Shopping Light;R. Cel. Xavier de Toledo, N° 23 - São Paulo - SP;2021-05-14;18688.83;97;Direito de Propriedade;1;1
17.655.115/0001-17;2021-03-31;1;MOT - Morumbi Office Tower;Av. Roque Petroni Júnior, 999 - São Paulo - SP;2021-02-01;3650.88;12;401 a 1501 ala "A".;0.123886;0.246483
18.497.672/0001-10;2021-03-31;1;Premier L'Allure 3201;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-02-01;200.79;1;Escritura;;0.0375
18.497.672/0001-10;2021-06-30;1;Oeste Tower 2001;Avenida A, nº 555, Setor Oeste, Goiânia, Goiás;2021-05-11;109.83;1;Imóvel recebido em dação.;;0.0149
18.497.672/0001-10;2021-06-30;1;L'Essence Energie 1003;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-04;97.08;1;Escritura;;0.0153
18.497.672/0001-10;2021-06-30;1;L'Essence Energie 501;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-11;96.85;1;Escritura;;0.0148
18.497.672/0001-10;2021-06-30;1;L'Essence Energie 803;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-05;97.08;1;Escritura;;0.0156
18.497.672/0001-10;2021-06-30;1;L'Essence Energie 2201;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-13;97.08;1;Escritura;;0.0149
18.497.672/0001-10;2021-06-30;1;Premier L'Allure 1601;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-06-29;200.79;1;Escritura;;0.0365
18.497.672/0001-10;2021-06-30;1;Premier L'Allure 1801;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-05-11;200.79;1;Escritura;;0.0365
18.497.672/0001-10;2021-06-30;1;Premier L'Allure 501;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-06-11;200.79;1;Escritura;;0.0365
18.497.672/0001-10;2021-06-30;1;Visage Oeste 2001;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;2021-05-24;72.31;1;Escritura;;0.0094
18.497.672/0001-10;2021-06-30;1;Visage Oeste 201;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;2021-05-11;72.31;1;Escritura;;0.0089
18.497.672/0001-10;2021-09-30;3;Oeste Tower 2001;Avenida A, nº 555, Setor Oeste, Goiânia, Goiás;2021-05-11;109.83;1;Imóvel recebido em dação.;;0.0149
18.497.672/0001-10;2021-09-30;3;L'Essence Energie 1003;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-04;97.08;1;Escritura;;0.0153
18.497.672/0001-10;2021-09-30;3;L'Essence Energie 501;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-11;96.85;1;Escritura;;0.0148
18.497.672/0001-10;2021-09-30;3;L'Essence Energie 803;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-05;97.08;1;Escritura;;0.0156
18.497.672/0001-10;2021-09-30;3;L'Essence Energie 2201;Rua 46, quadra C-2, Jardim Goiás, Goiânia, Goiás;2021-05-13;97.08;1;Escritura;;0.0149
18.497.672/0001-10;2021-09-30;3;Premier L'Allure 1601;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-06-29;200.79;1;Escritura;;0.0365
18.497.672/0001-10;2021-09-30;3;Premier L'Allure 1801;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-05-11;200.79;1;Escritura;;0.0365
18.497.672/0001-10;2021-09-30;3;Premier L'Allure 501;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;2021-06-11;200.79;1;Escritura;;0.0365
18.497.672/0001-10;2021-09-30;3;Visage Oeste 2001;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;2021-05-24;72.31;1;Escritura;;0.0094
18.497.672/0001-10;2021-09-30;3;Visage Oeste 201;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;2021-05-11;72.31;1;Escritura;;0.0089
18.497.672/0001-10;2021-12-31;2;Premier L'Adresse 1100;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;;265.94;1;N/A;;
18.497.672/0001-10;2021-12-31;2;Premier L'Adresse 2700;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;;265.94;1;N/A;;
18.497.672/0001-10;2021-12-31;2;Premier L'Adresse 2800;Alameda Ricardo Paranhos, Quadra 247, Lote 1/4-35, Setor Marista, Goiânia, Goiás;;265.94;1;N/A;;
18.497.672/0001-10;2021-12-31;2;Visage Sudoeste 1401;Rua R-17, quadra R-33, Setor Oeste, Goiânia, Goiás;;70.79;1;N/A;;
18.497.672/0001-10;2021-12-31;2;BPWR - BL6 APTO102;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;121;1;N/A;;
18.497.672/0001-10;2021-12-31;2;BPWR - BL7 APTO102;Ceará,Fortaleza,  Medusa - Porto das Dunas, Beach Park Wellness;;121;1;N/A;;
19.628.741/0001-40;2021-06-30;1;Morumbi Shopping;Av. Giovanni Gronchi 5930, Shopping, São Paulo, SP, 05724-002;2021-05-14;31460.79;192;Direito de Propriedade;1;1
19.722.048/0001-31;2021-03-31;1;144574;Alameda Franca 1314 - 51;2021-02-04;175.85;1;Apartamento para venda;0.00892094153207473;0.00777601321997082
19.722.048/0001-31;2021-03-31;1;166714;Alameda Campinas 541 - 142;2021-01-25;159.48;1;Apartamento para venda;0.00978718374082078;0.0085310804785878
19.722.048/0001-31;2021-03-31;1;160546;Rua Cap. Pinto Ferreira 65 - 111;2021-02-04;134.6;1;Apartamento para venda;0.0071496006310937;0.00623200912426186
19.722.048/0001-31;2021-03-31;1;140133;Alameda Sarutaiá 186 - 82;2021-02-11;137.315;1;Apartamento para venda;0.00663311185446804;0.00578180736690614
19.722.048/0001-31;2021-03-31;1;161523;Rua Tatuí 95 - 21;2021-02-12;164.02;1;Apartamento para venda;0.00780089437813323;0.00679971476036033
19.722.048/0001-31;2021-03-31;1;146006;Alameda Franca 1581 - 21;2021-03-11;112.39;1;Apartamento para venda;0.00622600207972798;0.00542694673039418
19.722.048/0001-31;2021-03-31;1;268046;Rua Baltazar da Veiga 473 - 152;2021-03-23;154.2;1;Apartamento para venda;0.0121243047366658;0.0105682515210187
19.722.048/0001-31;2021-03-31;1;158669;Rua Caconde 380 - 101;2021-03-15;229.34;1;Apartamento para venda;0.0136502957117637;0.0118983943039586
19.722.048/0001-31;2021-03-31;1;139651;Alameda Campinas 911 - 111;2021-02-03;126.98;1;Apartamento para venda;0.00646890334085387;0.00563867364406931
19.722.048/0001-31;2021-03-31;1;329614;Rua Clodomiro Amazonas, 506 - 104;2021-02-04;70.48;1;Apartamento para venda;0.00571832941062449;0.00498442960681781
19.722.048/0001-31;2021-03-31;1;233211;Rua Tabapuã 133 - 33;2021-01-26;48.92;1;Apartamento para venda;0.0028913856460291;0.00252030045558736
19.722.048/0001-31;2021-03-31;1;236981;Rua Romilda Margarida Gabriel 69 - 101;2021-01-27;84.8;1;Apartamento para venda;0.00363698786601417;0.00317021086006628
19.722.048/0001-31;2021-03-31;1;137506;Alameda Franca 162 - 121;2021-03-08;113.515;1;Apartamento para venda;0.00537184543682843;0.00468241395622095
19.722.048/0001-31;2021-03-31;1;155364;Alameda Lorena 853 - 102B;2021-03-03;89;1;Apartamento para venda;0.00612160344043863;0.00533594678421785
19.722.048/0001-31;2021-03-31;1;143037;Rua da Consolação 2801 - 102;2021-03-03;100.38;1;Apartamento para venda;0.00500791060325093;0.00436518711789547
19.722.048/0001-31;2021-03-31;1;333046;Doutor Ivo Define Frasca 40 - 22;2021-02-17;91.698;1;Apartamento para venda;0.00508045103692975;0.00442841759297938
19.722.048/0001-31;2021-03-31;1;231498;Rua Viradouro 97 - 54;2021-03-29;92.72;1;Apartamento para venda;0.00510836789959195;0.00445275155956138
19.722.048/0001-31;2021-03-31;1;211793;Rua Francisco Leitão 369 - 92;2021-03-09;101.05;1;Apartamento para venda;0.00383601585268681;0.0033436952675076
19.722.048/0001-31;2021-03-31;1;230043;Rua Pedroso Alvarenga 271 - 92;2021-03-30;122.5;1;Apartamento para venda;0.00789655886143828;0.00688310150649998
19.722.048/0001-31;2021-03-31;1;268239;Rua Domingos Leme 609 - 61;2021-03-12;191.568;1;Apartamento para venda;0.0183979186934581;0.0160366995418483
19.722.048/0001-31;2021-03-31;1;139195;Alameda Franca 35 - 14;2021-03-29;244.16;1;Apartamento para venda;0.0144458728841117;0.0125918657932002
19.722.048/0001-31;2021-03-31;1;148541;Rua da Consolação 3665 - 22;2021-01-26;203.18;1;Apartamento para venda;0.0110279869036969;0.00961263692229001
19.722.048/0001-31;2021-03-31;1;153276;Rua José Maria Lisboa 1055 - 5;2021-03-25;207.2;1;Apartamento para venda;0.0111331174533017;0.00970427484420788
19.722.048/0001-31;2021-03-31;1;1424643;Rua Marcos Lopes 272;2021-03-22;73.73;1;Apartamento para venda;0.00600675044944697;0.00523583421503519
19.722.048/0001-31;2021-03-31;1;143073;Alameda Jaú 1863;2021-03-04;114.39;1;Apartamento para venda;0.00594677667204639;0.00518355757088931
